"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","date_scraped","search_query"
"go-39KOjj67zN7vCHuLAAAAAA==","google","https://www.dice.com/job-detail/775c937d-aaed-4aa8-afdd-d16d2c47c5bc?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Business Analyst / Scrum Master","Zolon Tech Solutions Inc","","2025-06-16","contract","","","","","",True,"","","","","Title : Senior Scrum Master / Business Analyst
Duration : Long Term Contract
Location : Remote Client location: Herndon, VA Note: Must go Through Clearance Process which take 6-8 weeks of time.
Job Description: We are seeking a dynamic and experienced Scrum Master who can also take on the role of a Business Analyst. The ideal candidate will be adept at facilitating agile ceremonies, ensuring the team adheres to SAFe Agile principles, and bridging the gap between business needs and technical solutions.
Key Responsibilities:
• Scrum Master Duties:
• Facilitate all agile ceremonies, including daily stand-ups, sprint planning, sprint reviews, retrospectives, and PI Planning.
• Ensure the team follows Lean Agile processes and principles.
• Remove impediments and shield the team from external distractions.
• Foster a collaborative and high-performing team environment.
• Track and communicate team progress and metrics.
• Business Analyst Duties:
• Collaborate with stakeholders to gather and document requirements for projects.
• Translate business needs into technical specifications and user stories.
• Conduct analysis to identify and recommend solutions that meet business objectives.
• Assist in the prioritization of the product backlog.
• Ensure alignment between business goals and technical deliverables.

Qualifications:
• Bachelor's degree in Computer Science, Business Administration, or a related field.
• Certified Scrum Master (CSM) or equivalent certification.
• Proven experience as a Scrum Master and Business Analyst.
• Strong understanding of Agile principles and practices.
• Excellent communication, facilitation, and interpersonal skills.
• Ability to work effectively with cross-functional teams.","","","","","","","","","","","","","","","2025-06-17 08:58:21.983421","Business Analyst (Longmont, Remote)"
"go-Q4klOszwNWP5XjH9AAAAAA==","google","https://jobgether.com/offer/684f903cfbead379e9902f4f-salesforce-cpq-business-analyst?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Salesforce CPQ Business Analyst","Infrabyte Technology Solution Pvt. Ltd.","United States","2025-06-16","contract","","","","","",True,"","","","","This a Full Remote job, the offer is available from: Anywhere

This is a remote position.

Role: Salesforce CPQ Business Analyst
Experience : 6+years
Type: Contract
Tenure: Long term

RESPONSIBILITIES

• Work with clients and end users to gather, understand, and define business requirements

• Develop user stories and to-be process flows to support the design and development of Salesforce solutions for our clients

• Work collaboratively with team members to design a solution that will meet a clients business requirement and fulfill user stories

• Complete the configuration for user stories within Salesforce, AppExchange products, or other cloud-based technologies

• Collaborate with developers to test and verify that solutions will meet the business requirements

• Evaluate and incorporate new technologies into new and existing frameworks and solutions as applicable

• Participate in key meetings with clients including requirement sessions, system demos, user acceptance testing, and end user training

REQUIREMENTS

• 5+ years of experience in IT, preferably Salesforce CRM.

• Strong experience in Salesforce CPQ, with hands-on implementation experience of at least 1-2 projects.

• Experience using Salesforce or similar CRM Products to develop client or business solutions

• Hands on experience configuring Salesforce or similar CRM Product, including workflows

• Good to have any Salesforce certification.

• Hands-on Experience in automation such as Workflow, Process builder, and Flows(In- depth (Knowledge is mandatory)

• Experience in Sales Cloud, Service Cloud, Marketing Cloud

• Experience in user acceptance testing, and end-user training.

• Coding skills are a bonus but not mandatory.

• Must have experience in handling multiple projects and delivering them on time.

• Excellent communication skills and ability to communicate at all levels of the organization

This offer from ""Infrabyte Technology Solution Pvt. Ltd."" has been enriched by Jobgether.com and got a 82% flex score.","","","","","","","","","","","","","","","2025-06-17 08:58:21.983421","Business Analyst (Longmont, Remote)"
"go-MDKdZrRAd796LOBcAAAAAA==","google","https://www.linkedin.com/jobs/view/accounting-reporting-analyst-at-the-flex-4251661194?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Accounting & Reporting Analyst","The Flex","Palestine, TX","2025-06-16","","","","","","",True,"","","","","About The Flex

The Flex is on a mission to transform the rental sector globally. We believe that renting a home should be as easy as buying an item from Amazon. Giving tenants the option to easily rent anywhere in the world and giving landlords simple, hassle-free property management without excessive management fees. We are building a small and dynamic team of A-Players, who are committed to growth and ready to scale The Flex to a global powerhouse in its sector. We believe in rewarding ambition and promoting from within.

Role Overview

The Internal Accountant will play a critical role in ensuring the financial health and operational efficiency of The Flex. We are looking for a highly skilled and detail-oriented Internal Accountant to join our team. This role is critical to ensuring the financial integrity of our business, managing internal financial records, and optimising our accounting processes. The ideal candidate will have a strong understanding of financial reporting, reconciliations, tax compliance, and internal controls.

Key Responsibilities

Financial Management & Reporting
• Maintain accurate financial records and ensure compliance with internal accounting policies.
• Prepare monthly, quarterly, and annual financial reports for management.
• Conduct bank reconciliations and ensure all transactions are properly recorded.
• Assist with budgeting, forecasting, and cash flow management.

General Ledger & Reconciliations
• Manage the general ledger, accounts payable, and accounts receivable.
• Ensure all revenue and expense transactions are accurately recorded and classified.
• Perform balance sheet reconciliations and investigate discrepancies.

Compliance & Taxation
• Ensure compliance with GAAP/IFRS/local accounting standards.
• Work with external auditors and tax consultants when needed.

Process Improvement & Internal Controls
• Develop and maintain internal financial controls to reduce risks.
• Identify areas for efficiency improvements in accounting processes.

Expense Management
• Manage expense tracking and employee reimbursements.

Requirements
• Experience:
• 3+ years of experience in financial accounting.
• Experience working with remote teams.
• Proven track record in accounting software, strong knowledge of IFRS and advance excel skills ((Pivot Tables, VLOOKUP, etc.).
• Skills:
• Strong attention to detail and problem-solving skills.
• Excellent communication skills in English.
• Ability to work independently and meet deadlines in a remote work environment.
• Education:
• Bachelor’s degree in Finance, Accounting, or a related field.
• Accountant trained in GAAP, IFRS, and Xero/QuickBooks or equivalent.

What We Offer
• Competitive salary and benefits package.
• Opportunities for career growth within a fast-expanding company.
• Training and support to help you excel in your role.
• A collaborative, inclusive work environment.","","","","","","","","","","","","","","","2025-06-17 08:58:21.983421","Business Analyst (Longmont, Remote)"
"go-WLbdywbJryS16t9FAAAAAA==","google","https://www.linkedin.com/jobs/view/partner-business-coach-consultant-at-tricres-4249607950?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Partner, Business Coach & Consultant","Tricres","United States","2025-06-16","","","","","","",False,"","","","","We are a different kind of coaching business. These bullet points give you a feel for who we are and how we work...
• we're not too stuffy
• we're not ego-driven
• we love our clients more than ourselves
• we prefer a down-to-earth approach to anything flashy or overly complicated
• we're part of a community of like-minded people who want to put an end to toxic work environments
• we approach every client in a respectful, non-judgemental way and never 'force' them through a particular process

Tricres is about building brilliant businesses from the inside out. Building kick a** cultures and then developing the people, strategy and revenues systems from there.

We're looking for two kick a** coaches who are:
• humble and listen like a rock with ears
• use simple, yet highly effective tools, models and frameworks that clients just 'get'
• get a CPD qualification when they work with us, nothing too fancy, just good, practical stuff
• if they're already ICF qualified, they get extra CCE credits (that's quite fancy)
• respond to clients needs and offer answers when and how they need it
• believe in building kick a** cultures so people are no longer miserable at work

If you're thinking about being a business coach, you're already an experienced business coach or you've just started out as a business coach and you like our style. We've got the perfect opportunity for you.

It's a self-employed opportunity. So you'll love freedom and want to say goodbye to the usual 9 to 5.","","","","","","","","","","","","","","","2025-06-17 08:58:21.983421","Business Analyst (Longmont, Remote)"
"go-f5h9GS3DvX78GKbmAAAAAA==","google","https://www.linkedin.com/jobs/view/oracle-ebs-financials-functional-analyst-at-bayapps-inc-4251477852?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Oracle EBS Financials Functional Analyst","BayApps, Inc.","Fremont, CA","2025-06-16","contract","","","","","",True,"","","","","This is a remote position.

BayApps is looking for an Oracle EBS Financials Functional Analyst to be the focal point for support and enhancement of Oracle EBS Financials business processes. Key activities for this role will include business process refinement, solution design, configuring EBS modules, testing, and end user support for key Finance modules in a global Oracle environment. The candidate will be a part of the Finance Solutions Delivery organization, and will have technical ownership of all aspects from project implementation to process enhancements to sustaining support.

Responsibilities:
• Work closely with business stakeholders and users to gather the end-user requirements and communicate IT priorities and delivery status to the business units
• Development of test scenarios and test cases, orchestrate the execution, test run validation of functional user testing
• Design and development of third party integrations, operational workflows, the development and execution of the roll-out strategies, cut-over plans, end-user training and support and end-user documentation
• Understand, communicate, and educate on the complexities, interdependencies and data flow of business processes across Oracle EBS finance modules, including GL, AP, AR, CM, FA and EBTax
• Development of clear functional business requirements/specifications
• Troubleshooting production issues through discussion with end users and technical resources, including problem recognition, research isolation and resolution steps.
• Maintain the health and effectiveness of the Oracle platform over time
• Take ownership of issues and work with business users and the development team to find resolutions
• Provide day-to-day functional support and troubleshooting including table level SQL research queries
• Drive open and comprehensive communications with key stakeholders, managing their expectations through clear and frequent communications
• Maintain and modify configuration, security, and access of Oracle modules
• Create and maintain application and process documentation, as well as training materials
• Guide and lead testing activities from unit testing to Production validation

Requirements

Qualifications:
• Minimum of 8 years of experience with Oracle R12.2 Financials modules, including GL, AP, AR, XLA, CM, FA, EBTax, iExpense, AGIS, Advance Collections
• Experience working on Oracle Enterprise Command Centers, Lockbox Payments, Customer epayments such as Credit Card and ACH
• Good understanding of financial tables and SQL technology
• Strong subledger accounting knowledge is a must. Should be able to analyze and identify any root causes in case of accounting and during period close issues.
• Experience with the below modules will be considered a plus, Inventory, Purchasing, OM, Service Contracts, Installed Base
• Experience with the below tools is a plus, DOMO, Vertex, OneSource, Pagero, Revpro, GetPaid, CyberSource, Runpayments
• Experience with Salesforce is a plus
• Must be an effective communicator (written and oral) across all levels of organization, including users, developers and management
• Must have experience documenting requirements and developing system / user test plans","","","","","","","","","","","","","","","2025-06-17 08:58:21.983421","Business Analyst (Longmont, Remote)"
"go-KkuxxbGwGTXc36lhAAAAAA==","google","https://www.randstadusa.com/jobs/4/1093610/business-analyst-3_redmond/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Business Analyst 3","Randstad USA","Redmond, WA","2025-06-15","contract","description","hourly",62400.0,83200.0,"USD",False,"","","","HRsupport@randstadusa.com","job summary:
Support Xbox Game Pass planning and strategy with business analysis - including month-end actualization of files, analyzing performance metrics, and forecast-to-actuals variances. The business analyst will report to a Senior Manager or Director.

location: Redmond, Washington
job type: Contract
salary: $30 - 40 per hour
work hours: 8am to 5pm
education: Bachelors

responsibilities:
- Support business analysis through month-end actualization and roll-forward of files.

- Refresh and update monthly key reports, scorecards, and slides in collaboration with team.

- Provide variance to forecast analysis across all business metrics (SKU, platform, publisher, title-level).

- Support ad-hoc analyses and deliverables as requested; provide data and insights across broader team.

- Document business processes and deliverables.

qualifications:
- Excellent verbal and written communication skills, very strong attention to detail, and interpersonal skills.

- Strong proficiency in Excel, advanced modeling, and significant experience with data modeling and forecasting.

- Strong analytical and problem-solving skills.

- Ability to work independently.

- Preferred (though not required) experience in gaming.

skills: - Bachelor's degree in business management, economics, finance, accounting or relevant field required.

- 5-7+ years experience required.

Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.

At Randstad Digital, we welcome people of all abilities and want to ensure that our hiring and interview process meets the needs of all applicants. If you require a reasonable accommodation to make your application or interview experience a great one, please contact HRsupport@randstadusa.com.

Pay offered to a successful candidate will be based on several factors including the candidate's education, work experience, work location, specific job duties, certifications, etc. In addition, Randstad Digital offers a comprehensive benefits package, including: medical, prescription, dental, vision, AD&D, and life insurance offerings, short-term disability, and a 401K plan (all benefits are based on eligibility).

This posting is open for thirty (30) days.

It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.","","","","","","","","","","","","","","","2025-06-17 08:58:21.983421","Business Analyst (Longmont, Remote)"
"go-Jjjtffe4Bfa5-g9-AAAAAA==","google","https://kyndryl.wd5.myworkdayjobs.com/en-US/KyndrylProfessionalCareers/job/Enterprise-Transformation-Enablement-Business-Analyst_R-41879?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Enterprise Transformation Enablement Business Analyst","1000 Kyndryl, Inc.","United States","2025-06-15","parttime","","","","","",False,"","","","","Who We Are At Kyndryl, we design, build, manage and modernize the mission-critical technology systems that the world depends on every day. So why work at Kyndryl? We are always moving forward – always pushing ourselves to go further in our efforts to build a more equitable, inclusive world for our employees, our customers and our communities. The Role Responsibilities: Support the Global Offering Leader(s) with their offering strategies aligned with the firm's overall strategic goals and technology capabilities. Help support the management of a robust PPM pipeline governance process, including opportunity identification, prioritization, and resource allocation.Actively support global business development and sales pursuits by developing compelling PPM proposals and presentations. Develop and maintain project documentation, including plans, reports, and presentations. Support the development and delivery of project communications and training materials. Track and monitor project progress against key performance indicators (KPIs). Collaborate with project teams to ensure smooth project execution. Support the development of proposals and presentations for new project opportunities. Assist in the development and maintenance of internal project management tools, templates, and methodologies. Contribute to the ongoing improvement of project management practices within the organization. Participate in knowledge-sharing sessions and contribute to the development of project management best practices. Kyndryl currently does not require employees to be fully vaccinated against COVID-19, however, if you are hired to work at a client, customer, or partner location, you may be required to show proof of vaccination to align with their respective COVID-19 vaccination policies. Those who believe they are eligible may apply for a medical or religious accommodation prior to the start of employment. Who You Are Required Qualifications: Bachelor's degree in Project Management, Business Administration, or a related field. 1-3 years of experience in Project Management or a related field, such as project coordination or project support, ideally within a professional or technology services company Consulting experience. Strong communication and interpersonal skills. Strong analytical and problem-solving skills. Proficiency in Microsoft Office Suite (Word, Excel, PowerPoint), and project management software (e.g., Microsoft Project, Jira). Ability to work independently and as part of a team. Seeks and incorporates feedback regularly. Familiarity with project management methodologies (e.g., Agile, Waterfall). Optional / Preferred Qualifications: Project Management Professional (PMP) certification or equivalent. The compensation range for the position in the U.S. is $110,880 to $210,600 based on a full-time schedule. Your actual compensation may vary depending on your geography, job-related skills and experience. For part time roles, the compensation will be adjusted appropriately. The pay or salary range will not be below any applicable state, city or local minimum wage requirement. There is a different applicable compensation range for the following work locations: California: $122,040 to $252,840 Colorado: $110,880 to $210,600 New York City: $133,080 to $252,840 Washington: $122,040 to $231,720 Washington DC: $122,040 to $231,720 This position will be eligible for Kyndryl’s discretionary annual bonus program, based on performance and subject to the terms of Kyndryl’s applicable plans. You may also receive a comprehensive benefits package which includes medical and dental coverage, disability, retirement benefits, paid leave, and paid time off. Note: If this is a sales commission eligible role, you will be eligible to participate in a sales commission plan in lieu of the annual discretionary bonus program. Applications will be accepted on a rolling basis. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. Know Your Rights: Workplace Discrimination is Illegal Pay Transparency Nondiscrimination Provision Being You Diversity is a whole lot more than what we look like or where we come from, it’s how we think and who we are. We welcome people of all cultures, backgrounds, and experiences. But we’re not doing it single-handily: Our Kyndryl Inclusion Networks are only one of many ways we create a workplace where all Kyndryls can find and provide support and advice. This dedication to welcoming everyone into our company means that Kyndryl gives you – and everyone next to you – the ability to bring your whole self to work, individually and collectively, and support the activation of our equitable culture. That’s the Kyndryl Way. What You Can Expect With state-of-the-art resources and Fortune 100 clients, every day is an opportunity to innovate, build new capabilities, new relationships, new processes, and new value. Kyndryl cares about your well-being and prides itself on offering benefits that give you choice, reflect the diversity of our employees and support you and your family through the moments that matter – wherever you are in your life journey. Our employee learning programs give you access to the best learning in the industry to receive certifications, including Microsoft, Google, Amazon, Skillsoft, and many more. Through our company-wide volunteering and giving platform, you can donate, start fundraisers, volunteer, and search over 2 million non-profit organizations. At Kyndryl, we invest heavily in you, we want you to succeed so that together, we will all succeed. Get Referred! If you know someone that works at Kyndryl, when asked ‘How Did You Hear About Us’ during the application process, select ‘Employee Referral’ and enter your contact's Kyndryl email address. We’re glad you’re here. Take a look around at the many exciting career opportunities we have available and apply today! Can’t find a suitable job opening? Drop off your CV/Resume Drop off your CV/Resume and a Recruiter will reach out with related career information that match your experience and expertise. Sign up for Job Alerts Create your account and then sign up for job alerts. When new jobs become available that meet your criteria, you’ll be alerted right away! At Kyndryl, curiosity is at the core of innovation. It fuels the most vital need inside us—the need to progress. To be a Kyndryl means standing up for Progress and going all in, fully committing to our customers and their progress. As we grow, our curiosity opens new worlds, new ways of thinking and solving problems. It helps us in our career and to find joy in our work. What sparks your curiosity?","","","","","","","","","","","","","","","2025-06-17 08:58:21.983421","Business Analyst (Longmont, Remote)"
"go-sUObgejKmPKc6awyAAAAAA==","google","https://www.simplyhired.com/job/21axqOfwD4l_gYUTYtjAw9xPHFC2ROx9Fj6P2mRio2D8mbNd4YcNyw?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Business Analyst – Ingenium (Life & Annuities)","Simploy Private Limited","","2025-06-15","fulltime","description","yearly",71967.0,86670.0,"USD",True,"","","","","Job Title: Business Analyst – Ingenium (Life & Annuities)

Location: Remote
Experience: 4+ Years
Industry: Insurance – Life & Annuity
Employment Type: Full Time

Job Summary:

We are seeking an experienced Business Analyst with strong expertise in Ingenium, a policy administration system (PAS) widely used in the Life & Annuity (L&A) insurance domain. The ideal candidate should possess a deep understanding of insurance business processes, policy lifecycle, and should be comfortable working in cross-functional teams to support digital transformation, system enhancements, and integration projects.

Key Responsibilities:
• Gather and document business requirements, user stories, and process flows related to Ingenium PAS.
• Collaborate with business users, solution architects, and technical teams to translate business needs into functional specifications.
• Perform gap analysis between current system capabilities and desired business processes.
• Support system configuration, data mapping, and integration between Ingenium and other internal/external systems.
• Assist in test planning, creating test cases, and supporting UAT activities.
• Create and maintain documentation such as BRDs, FRDs, process models, and training materials.
• Participate in Agile ceremonies (Scrum, Sprint Planning, Backlog Grooming) and contribute to backlog refinement.
• Liaise with QA, developers, and stakeholders to ensure smooth delivery and issue resolution.

Required Skills & Experience:
• 4+ years of experience as a Business Analyst in the Life & Annuity insurance domain.
• Strong hands-on experience with Ingenium PAS (system workflows, batch processing, policy transactions, etc.).
• Solid understanding of policy lifecycle – new business, underwriting, policy issuance, servicing, claims, and termination.
• Experience with mainframe systems and knowledge of COBOL-based environments (preferred).
• Familiarity with data models, SQL, and reporting tools.
• Excellent communication, documentation, and stakeholder management skills.
• Exposure to Agile methodology and tools like JIRA, Confluence, etc.

Preferred Qualifications:
• Bachelor’s degree in Computer Science, Information Technology, Insurance, or a related field.
• Knowledge of other PAS tools like wmA, LifeComm, CyberLife, or Vantage-One is a plus.
• Certifications like IIBA CBAP, Scrum Master, or Agile BA are desirable.

Job Types: Full-time, Permanent

Pay: $71,967.41 - $86,670.42 per year

Schedule:
• 8 hour shift
• Day shift
• Monday to Friday

Education:
• Bachelor's (Preferred)

Experience:
• Ingenium: 4 years (Preferred)
• Business Analyst in the Life & Annuity insurance domain: 4 years (Preferred)

Work Location: Remote","","","","","","","","","","","","","","","2025-06-17 08:58:21.983421","Business Analyst (Longmont, Remote)"
"go-1ro0lmxmwoIPITXpAAAAAA==","google","https://www.indeed.com/viewjob?jk=29bcce49cbd12e12&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","ERP Business Analyst, Sr - 1LMX / SAP / Financial Accounting","Lockheed Martin","Fort Worth, TX","2025-06-15","fulltime","description","yearly",93800.0,162610.0,"USD",True,"","","","","Job ID: 689883BR
Date posted: Apr. 07, 2025

Description:
Join Lockheed Martin's digital transformation journey as we accelerate the OneLM Mission-Driven Transformation through our 1LMX program. This strategic priority is reshaping our operations and business processes to better serve our customers in terms of cost, quality, and capabilities, while delivering the speed, agility, and insights necessary to stay ahead of rapidly-evolving threats.

The Lockheed Martin Enterprise Business Transformation & Enablement organization team is hiring an mid-level ERP Business Analyst to support their corporate-wide business transformation leveraging the SAP S/4HANA platform and partner products. This particular role sits within the EBDT Portfolio and is assigned to the Financial Accounting Team within the Finance ART.

What You Will Be Doing:
In this role, you will support process design, system configuration, testing, and training. This role will require you to have both business and technical acumen in order to support functional spec definition, technical solution design and development estimate efforts. Your ability to develop a technical solution with innovative and leading technologies through performance of system configuration, assist with clarification of requirements, and performance of component and integration testing activities is key to transformation delivery.

You will work in a scaled agile scrum team comprised of business representatives and IT employees to complete system configuration and software development based on business requirements. Major applications that will be utilized in this position will include SAP S4, integration with Accounting and Tax Solutions, Document Management Systems, and Data Analytics Systems.

Who You Are:
You have a strong background in SAP software, with experience in implementing various SAP components and ensuring their long-term health and efficiency through operational and maintenance (O&M) support, also known as sustainment. Ability to use your skills in configuring SAP and integration with other partner products to meet the specific needs of organizations. Your expertise is rooted in the finance and accounting domain, where you have a deep understanding of the financial processes and systems that SAP supports. With a comprehensive understanding of the software development life cycle, you're able to bridge the gap between technical and non-technical stakeholders, making you a valuable asset in a variety of roles.

What's In It For You:
From onsite to remote, we offer flexible work schedules to comprehensive benefits investing in your future and security, learn more about Lockheed Martin's comprehensive benefits package here.

Lockheed Martin provides the resources and the flexibility to enable inspiration and focus! If you have the passion and courage to dream big, work hard, and have fun doing what you love, then we want to build a better tomorrow with you!

Further Information About This Opportunity:
This role is fully remote. US Citizenship required to due system access.
Basic Qualifications:
• Experience with SAP Software implementation
• Experience with SAP O&M/Sustainment
• Experience with SAP configuration
• Domain experience within finance and accounting
• Understanding of software development life cycle
• Ability to facilitate cross functional discussions and solution development
• Effective communication skills both oral and written
• Demonstrated ability to work and collaborate with a multi-disciplinary team
• US Citizenship required to due system access

Desired Skills:
• Degree in Information Systems and/or financial discipline such as Accounting, Finance, Business Analysis
• Experience with Agile Methodology
• Exposure to Automated Testing Methodologies
• Relevant SAP certification
• Experience with A&D financial reporting (i.e., balance sheet, P&L, periodic accounting reporting, etc)

Clearance Level: None
Other Important Information You Should Know
Expression of Interest: By applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. Should this match be identified you may be contacted for this and future openings.
Ability to Work Remotely: Full-time Remote Telework: The employee selected for this position will work remotely full time at a location other than a Lockheed Martin designated office/job site. Employees may travel to a Lockheed Martin office for periodic meetings.
Work Schedules: Lockheed Martin supports a variety of alternate work schedules that provide additional flexibility to our employees. Schedules range from standard 40 hours over a five day work week while others may be condensed. These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits.
Schedule for this Position: 4x10 hour day, 3 days off per week
Pay Rate: The annual base salary range for this position in most major metropolitan areas in California and New York is $93,800 - $162,610. For states not referenced above, the salary range for this position will reflect the candidate's final work location. Please note that the salary information is a general guideline only. Lockheed Martin considers factors such as (but not limited to) scope and responsibilities of the position, candidate's work experience, education/ training, key skills as well as market and business considerations when extending an offer.
Benefits offered: Medical, Dental, Vision, Life Insurance, Short-Term Disability, Long-Term Disability, 401(k) match, Flexible Spending Accounts, EAP, Education Assistance, Parental Leave, Paid time off, and Holidays.
This position is incentive plan eligible.
Pay Rate: The annual base salary range for this position in California and New York (excluding most major metropolitan areas), Colorado, Hawaii, Illinois, Maryland, Minnesota, New Jersey, Vermont, Washington or Washington DC is $81,600 - $143,865. For states not referenced above, the salary range for this position will reflect the candidate's final work location. Please note that the salary information is a general guideline only. Lockheed Martin considers factors such as (but not limited to) scope and responsibilities of the position, candidate's work experience, education/ training, key skills as well as market and business considerations when extending an offer.
Benefits offered: Medical, Dental, Vision, Life Insurance, Short-Term Disability, Long-Term Disability, 401(k) match, Flexible Spending Accounts, EAP, Education Assistance, Parental Leave, Paid time off, and Holidays.
(Washington state applicants only) Non-represented full-time employees: accrue at least 10 hours per month of Paid Time Off (PTO) to be used for incidental absences and other reasons; receive at least 90 hours for holidays. Represented full time employees accrue 6.67 hours of Vacation per month; accrue up to 52 hours of sick leave annually; receive at least 96 hours for holidays. PTO, Vacation, sick leave, and holiday hours are prorated based on start date during the calendar year.
This position is incentive plan eligible.
Lockheed Martin is an equal opportunity employer. Qualified candidates will be considered without regard to legally protected characteristics.
The application window will close in 90 days; applicants are encouraged to apply within 5 - 30 days of the requisition posting date in order to receive optimal consideration.
At Lockheed Martin, we use our passion for purposeful innovation to help keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work.

With our employees as our priority, we provide diverse career opportunities designed to propel, develop, and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. We place an emphasis on empowering our employees by fostering an inclusive environment built upon integrity and corporate responsibility.

If this sounds like a culture you connect with, you're invited to apply for this role. Or, if you are unsure whether your experience aligns with the requirements of this position, we encourage you to search on Lockheed Martin Jobs, and apply for roles that align with your qualifications.
Experience Level: Experienced Professional
Business Unit: ENTERPRISE BUSINESS SERVICES
Relocation Available: No
Career Area: Information Technology
Type: Full-Time
Shift: First","","","","","","","","","","","","","","","2025-06-17 08:58:21.983421","Business Analyst (Longmont, Remote)"
"go-HrW0_sczF_Km0QHCAAAAAA==","google","https://careers.mimecast.com/en/jobs/r5596/anaplan-administrator-and-business-analyst/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Anaplan Administrator and Business Analyst","Mimecast","Lexington, MA","2025-06-15","","","","","","",False,"","","","careers@mimecast.com","Are you an Anaplan expert with a knack for business analysis? Join our team as an Anaplan Administrator and Business Analyst and play a key role in optimizing our sales planning, forecasting, and performance tracking processes. This hybrid role combines technical expertise in Anaplan with the analytical mindset of a business analyst to deliver impactful solutions that drive business success.

What You’ll Do:
• Anaplan Model Management: Build, maintain, and optimize Anaplan models for territory alignment, quota distribution, and sales performance tracking. Troubleshoot and resolve issues to ensure seamless operations.
• Business Analysis: Collaborate with stakeholders to gather and analyze business requirements, translate them into actionable solutions, and prioritize project roadmaps. Define workflows, manage UAT sessions, and support program documentation.
• Integration & Reporting: Ensure smooth integration of Anaplan with CRM systems (e.g., Salesforce) and other business tools. Develop dashboards and reports to provide actionable insights for decision-making.
• Scenario Planning: Enable teams to perform what-if scenario planning for resource allocation, territory adjustments, and quota management.
• User Support & Training: Provide training and support to end-users, ensuring effective utilization of Anaplan. Act as the primary point of contact for troubleshooting user issues.
• Documentation & Compliance: Maintain detailed documentation of processes, workflows, and system configurations. Ensure compliance with internal policies and external regulations regarding data security and privacy.
• Collaboration: Partner with cross-functional teams to align Anaplan solutions with business needs and drive innovation in sales planning and forecasting.

What You’ll Bring:
• Anaplan Expertise: Proven experience in Anaplan administration, including model building, optimization, and troubleshooting. Certification as a Model Builder or Solution Architect is a plus.
• Business Analysis Skills: Strong ability to gather, analyze, and translate business requirements into scalable solutions. Experience in defining workflows and managing UAT sessions.
• Technical Skills: Proficiency in Anaplan, Salesforce, and data integration tools. Familiarity with Anaplan’s Administration Console and role-based permissions.
• Analytical & Problem-Solving Skills: Strong ability to interpret data, visualize insights, and solve complex problems.
• Communication: Excellent verbal and written communication skills for stakeholder collaboration and user training.
• Adaptability: Ability to manage multiple projects and adapt to evolving business requirements.
• Education: Bachelor’s degree in Business Administration, Computer Science, Data Analytics, or a related field (or equivalent experience).

DEI Statement

Cybersecurity is a community effort. That’s why we’re committed to building an inclusive, diverse community that celebrates and welcomes everyone – unless they’re a cybercriminal, of course.

We’re proud to be an Equal Opportunity and Affirmative Action Employer, and we’d encourage you to join us whatever your background. We particularly welcome applicants from traditionally underrepresented groups.

We consider everyone equally: your race, age, religion, sexual orientation, gender identity, ability, marital status, nationality, or any other protected characteristic won’t affect your application.

If you require any adjustments or accommodations due to a disability, or any other reason that may help you in your interview process, please let us know by emailing careers@mimecast.com.

Due to certain obligations to our customers, an offer of employment will be subject to your successful completion of applicable background checks, conducted in accordance with local law.","","","","","","","","","","","","","","","2025-06-17 08:58:21.983421","Business Analyst (Longmont, Remote)"
