"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","date_scraped","search_query"
"in-4e3af7a873268216","indeed","https://www.indeed.com/viewjob?jk=4e3af7a873268216","https://jobs.smartrecruiters.com/Visa/744000065739894-director-risk-consulting","Director, Risk Consulting","Visa","Ashburn, VA, US","2025-06-17","fulltime","direct_data","yearly",143700.0,220850.0,"USD",False,"","","","","**Company Description**

Visa is a world leader in payments and technology, with over 259 billion payments transactions flowing safely between consumers, merchants, financial institutions, and government entities in more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable, and secure payments network, enabling individuals, businesses, and economies to thrive while driven by a common purpose – to uplift everyone, everywhere by being the best way to pay and be paid.

Make an impact with a purpose-driven industry leader. Join us today and experience Life at Visa.

 **Job Description**

Visa Consulting and Analytics (VCA) drives tangible, impactful and financial results for Visa’s network clients, including both financial services and merchants. Drawing on our expertise in strategy consulting, data analytics, brand management, marketing, operational and macroeconomics, Visa Consulting and Analytics solves the most strategic problems for our clients.

The US Consulting Practice within Visa Consulting & Analytics provides consulting and solution services for Visa’s largest issuers in the United States. We apply deep expertise in the payments industry to provide solutions to assist clients with their key business priorities, drive growth and improve profitability. The VC&A team provides a comprehensive range of consulting services to deliver solutions that address unique challenges in areas such as improving profitability, strategic growth, customer experience, digital payments and managing risk.

The VCA team seeks a Director to join our Risk Practice and play a role developing and delivering high-impact projects for Visa’s clients in North America. The Risk Practice advises Visa clients and ecosystem partners on core risk management areas for card portfolio management, including originations strategies, underwriting, fraud, authorizations, credit line management, and disputes. Our team also partners closely with other parts of Visa to bring best-in-class guidance to clients on a variety of risk-related topics. The selected candidate will lead a new service line within the Risk Practice organization focusing on Cyber Risk advisory for North American clients.

The Director will identify/develop new client opportunities, manage projects within the practice, and serve as a thought leader to promote sustainable and profitable growth, thereby ensuring that Visa is both the preferred brand and unique business partner.

**Essential functions include:**

* Lead the Cyber Risk advisory service line within North America, including the identification and hiring of new team members as the business grows. Work with leadership to establish revenue targets and own the delivery of annual financial goals. Maintain strong client satisfaction for all projects delivered within the service line.
* Build new project frameworks that identify areas of client exposure to various cyber risks, resulting in net-new engagements that can be commercialized by the consulting organization.
* Participate in the sales process to qualify opportunities and, using a consultative approach, guide clients to the correct engagement type to address their needs.
* Lead consulting initiatives and contribute to closing engagements by identifying potential opportunities with clients.
* Proactively engage with Visa teams in regular strategic & planning discussions
* cultivate and manage a pipeline of work across our core consulting segments.
* Deploy frameworks, approaches, solutions and recommendations that effectively and efficiently address the most impactful opportunities and challenges.
* Build solutions and actionable insights that will help clients to manage risk in their portfolios
* Partner with peers in other functional areas (e.g., Visa Risk, Digital Practice, Strategy Practice) and across global regional teams to execute projects in ways that leverage the breadth and depth of Visa’s resources
* Produce insights, analyses and recommendations to improve client performance, boost growth, drive understanding of client issues and provide strategic guidance for client priorities across the verticals and segments
* Develop and deliver client-ready presentations in collaboration with junior and senior resources on the team

Applicants should be self-motivated and highly energized. Successful team members are detail-oriented individuals who deliver strategic thought leadership, problem diagnostics and high-impact solutions to clients grounded in recent and relevant industry expertise. Candidates must be able to develop enduring, strategic relationships with internal and external clients and across the Visa organization.

This is a hybrid position. Expectation of days in office will be confirmed by your hiring manager.

 **Qualifications**

**Basic Qualifications**

* 10 or more years of work experience with a Bachelor’s Degree or at least 8 years of work experience with an Advanced Degree (e.g. Masters/ MBA/JD/MD) or at least 3 years of work experience with a PhD

**Preferred Qualifications**

* 12 or more years of work experience with a Bachelor’s Degree or 8-10 years of experience with an Advanced Degree (e.g. Masters, MBA, JD, MD) or 6+ years of work experience with a PhD
* Qualified candidates will have demonstrated industry expertise in common security frameworks and standards, having delivered cyber-defense or certification services to financial institutions in North America.
* Demonstrated experience in client-facing consulting roles, with an emphasis on cyber risk management. Expert-level knowledge in one or more of the following areas, with a focus on delivering services to financial institutions:
  + Crisis response plans
  + Social engineering defense
  + Cybersecurity workshops
  + Maturity assessments for cyber risk management
  + Vulnerability tests / assessments
* Ability to converse with client leaders who own individual risk functions using empathy, industry-standard terminology, and knowledge of recent industry trends
* Entrepreneurial attitude as demonstrated by a willingness to take on a mixture of high-profile and lower-level tasks in support of the strategic business objectives of the Risk Practice
* Highly collaborative nature with experience working with geographically distributed teams
* Comfortable leading client interview sessions and crafting compelling presentations
* Experience working with financial indicators to measure business performance. Significant focus on impacting ROI
* Strong analytical skills, with demonstrated intellectual and analytical rigor
* Self-motivated, results oriented individual with the ability to handle numerous projects concurrently
* Knowledge and understanding of risk management, with an emphasis on fraud
* Excellent communication, story-telling and presentation skills for executive audiences
* Team-minded

  
**Additional Information**

**Work Hours:** Varies upon the needs of the department.

**Travel Requirements:** This position requires travel 5-10% of the time.

**Mental/Physical Requirements:** This position will be performed in an office setting. The position will require the incumbent to sit and stand at a desk, communicate in person and by telephone, frequently operate standard office equipment, such as telephones and computers.

Visa is an EEO Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Visa will also consider for employment qualified applicants with criminal histories in a manner consistent with EEOC guidelines and applicable local law.

Visa will consider for employment qualified applicants with criminal histories in a manner consistent with applicable local law, including the requirements of Article 49 of the San Francisco Police Code.

**U.S. APPLICANTS ONLY: The estimated salary range for a new hire into this position is $143,700 to $220,850 USD per year, which may include potential sales incentive payments (if applicable). Salary may vary depending on job-related factors which may include knowledge, skills, experience, and location. In addition, this position may be eligible for bonus and equity. Visa has a comprehensive benefits package for which this position may be eligible that includes Medical, Dental, Vision, 401 (k), FSA/HSA, Life Insurance, Paid Time Off, and Wellness Program.**","Banks And Financial Services","https://www.indeed.com/cmp/Visa","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/424e574b0a65615c2d593985d0324d96","http://www.visa.com","One Market Plaza, 5th Floor
San Francisco, CA 94105","10,000+","more than $10B (USD)","Our Purpose is to... Uplift everyone, everywhere by being the best way to pay and be paid.","","","","","","","2025-06-17 09:17:12.206460","Customer Experience Manager (USA, Remote)"
"in-d21ff5c155a3a855","indeed","https://www.indeed.com/viewjob?jk=d21ff5c155a3a855","http://www.indeed.com/job/front-desk-agent-d21ff5c155a3a855","Front Desk Agent","Spring Hill Suites","Denver, CO, US","2025-06-17","parttime, fulltime","","hourly","","","USD",False,"","","","","Front Desk AgentDenver, COEasy ApplyEasy Apply

**Pay Starting At: $19.50/hour**

**Overview:**

The Front Desk Clerk is responsible for assisting guests with check-in and check-out, answers and processes all phone calls received, plus handles all special requests for services or information, in accordance with standard policies and procedures.

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. Reasonable Accommodations may be made to enable qualified individuals with disabilities to perform the essential functions.

**Key Duties & Responsibilities:**

* Resolve guest complaints, ensuring guest satisfaction.
* Anticipate guests needs, respond promptly and acknowledge all guests, however busy and whatever time of day.
* Maintain positive guest relations at all times.
* Resolve guest complaints, ensuring guest satisfaction.
* Maintain complete knowledge at all times of: a) all hotel features/services, hours of operation. b) all room rates, special packages and promotions. c) daily house count and expected arrivals/departures. d) scheduled daily group activities.
* Obtain assigned bank and ensure accuracy of contracted monies.
* Keep bank secure at all times.
* Answer department telephone within 3 rings, using correct greeting and telephone etiquette.
* Process all guest check-ins.
* Verify registration card information with the guest.
* Obtain back-up information for guest credit/payment method and input into system; collect cash when designated.
* Direct Bell Person to escort guest and transport their luggage to the room.
* Handle overbooked or walked in guests.
* Accept and record wake-up call requests.
* Monitor, send and distribute guest faxes.
* Communicate pertinent guest information to designated departments/personnel (i.e., special requests, amenity delivery).
* Resolve discrepancies on the room status report with Housekeeping.
* Match the bucket check to in-house guest ledger report; report discrepancies to Manager.
* Process all check-outs.
* Process adjustment vouchers, paid-outs, correction vouchers, miscellaneous charges.

**Education and Experience:**

* High School Graduate or General Education Degree (GED).
* One year previous experience in a similar position in a hotel.
* Basic computer skills required.

*Crestline Hotels & Resorts is an Equal Opportunity Employer/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, protected veteran status, sexual orientation, gender, identity, or disability status.*

From basic benefits to added advantages, **Crestline Hotels & Resorts** does what it takes to take care of our Associates—both in and outside of work. Benefits include: Health and Welfare plans to include Medical/Dental/Vision options, Competitive Paid Time Off, 401k Savings Plan with Company Match, Volunteer Opportunities, Educational Assistance, Travel Discounts, and more! \\*Benefits may vary depending on location.

*\\*No application deadline. All positions posted on on-going basis until filled\\**

Brand: Springhill Suites Denver Airport  
Address: 18350 E 68th Ave Denver, CO - 80249  
Property Description: Springhill Suites Denver Airport  
Property Number: 368\\*\\*Job Summary:\\*\\* We are seeking a professional and friendly Front Desk Agent to join our team. The ideal candidate should have a passion for hospitality and excellent customer service skills. \\*\\*Responsibilities:\\*\\* - Greet guests and provide them with exceptional service - Check guests in and out efficiently - Handle guest inquiries and resolve any issues promptly - Manage reservations and room assignments - Assist with night audit procedures - Operate phone systems and direct calls appropriately - Maintain a clean and organized front desk area \\*\\*Experience:\\*\\* - Previous experience in hotel management or hospitality is preferred - Strong customer service skills with a focus on guest relations - Proficiency in front desk operations and phone etiquette - Knowledge of night audit procedures is a plus - Ability to communicate effectively with guests and team members - Bilingual proficiency is advantageous - Background in hospitality management would be beneficial This position offers the opportunity to work in a dynamic hospitality environment, interact with diverse guests, and contribute to creating memorable experiences for our visitors. If you are enthusiastic about providing exceptional service and enjoy working in a fast-paced setting, we encourage you to apply for the Front Desk Agent position.

Job Types: Full-time, Part-time

Pay: From $19.50 per hour

Benefits:

* 401(k)
* Dental insurance
* Employee discount
* Flexible schedule
* Health insurance
* Paid time off
* Vision insurance

Schedule:

* 10 hour shift
* 8 hour shift
* Day shift
* Evening shift
* Holidays
* Nights as needed
* On call
* Overnight shift
* Overtime

Experience:

* Hotel: 1 year (Required)

Ability to Commute:

* Denver, CO 80249 (Required)

Ability to Relocate:

* Denver, CO 80249: Relocate before starting work (Required)

Work Location: In person","Restaurants Travel And Leisure","https://www.indeed.com/cmp/Spring-Hill-Suites","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/1f4f73dfe0c6d08acd6c4847d11c088a","https://springhillsuites.marriott.com","","","","","","","","","","","2025-06-17 09:17:12.206460","Customer Experience Manager (USA, Remote)"
"in-4d79831f07b9c435","indeed","https://www.indeed.com/viewjob?jk=4d79831f07b9c435","http://www.indeed.com/job/restaurant-shift-manager-12948-4d79831f07b9c435","Restaurant Shift Manager - 12948","Ace Brands|Popeyes","Seymour, IN, US","2025-06-17","parttime, fulltime","direct_data","yearly",29120.0,33280.0,"USD",False,"","","","","Full-Time  
Hourly

As a Shift Manager of our Popeyes location in Seymour, IN, you must assist the  
restaurant manager in profitably and operating the restaurant within the practice and procedures established by Company Operations. This position is responsible for cost control, customer service, restaurant and employee appearance, building sales, maximizing profits, and employee development.

**Essential Duties and Responsibilities:**

1.Maintain the highest level of quality, service, and cleanliness in all work assignments.  
2.Train team members on policies, procedures, and standards, as well as continually observing their work ethic and customer service proficiencies. Complete Learning Hub Program and have the knowledge to train team members.  
3.Execution of the guests’ food orders in a friendly and timely manner.  
4.Awareness and adherence to food safety and safety procedures(holding times, temperatures, code dates, walk-in, etc.). Complete HACCP logs.  
5.Knowledge of receiving, rotating, and stocking of food and supply orders in accordance with proper procedure.  
6.Knowledge of all menu items and current pricing.  
7.Project a professional presence in the restaurant community by being active in the community.  
8.Adhere to company ethical cash handling procedures. Responsible for counting starting shift’s registers and safe. Create bank deposits.  
9.Responsible for all voids and cancelation transactions. Maintains and controls register key for all transactions. Issue comps, discounts, and coupons. Maintain store keys for opening and closing restaurant.  
10.Responsible to document and sign-off of all sales, voids and transactions during your shift.  
11.May assist with coaching, and counseling issues as outlined in the Company policies and procedures. Issue Corrective Actions when policies and procedures are not followed.  
12.Ability to demonstrate sense of urgency to get the required job done in a timely manner. Verify that prep process and job duties have been completed before team members are released from shift.  
13.Ability to demonstrate teamwork skills with other employees.  
14.Ability to demonstrate a positive outlook and attitude toward management, other employees, and guests. Properly handle customer complaints, deferring to highest ranking manager in store.  
15.Ability to demonstrate punctuality and adhere to attendance scheduling. Assign positions for team members on each shift. Check and issue meal breaks for team members.  
16.Any other duty to include daily and weekly projects which management deems necessary to the smooth flow, goodwill, and operation of the restaurant.

**Qualification/Requirements:**

To perform this job successfully an individual must be able to perform each essential duty satisfactorily. The requirements listed above and below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions of the job.

**Education and / or Experience:**

At least 1 year in a quick service restaurant/fast food industry. Preferably in a leadership position.

Language Skills: Ability to effectively communicate in the English language enough so as to be able to work as a team with other employees to get the required job and essential functions accomplished. Spanish speakers encouraged to apply.

Reasoning Ability: Ability to apply commonsense understanding to carry out simple one or two step instructions. Ability to make decisions that are beneficial to the guest as well as other employees and the restaurant operation.

Must be at least 18 years or older and adhere to a background check.

Job Types: Full-time, Part-time

Pay: $14.00 - $16.00 per hour

Benefits:

* Employee discount
* Flexible schedule
* Paid time off
* Paid training

Shift:

* Day shift
* Evening shift
* Morning shift

Work Location: In person","","https://www.indeed.com/cmp/Ace-Brands-Popeyes","","","","","","","","","","","","","2025-06-17 09:17:12.206460","Customer Experience Manager (USA, Remote)"
"in-33542f21033367b1","indeed","https://www.indeed.com/viewjob?jk=33542f21033367b1","http://www.indeed.com/job/assistant-manager-33542f21033367b1","Assistant Manager","Summit Financial Services of SC","Newberry, SC, US","2025-06-17","fulltime","direct_data","yearly",31200.0,37440.0,"USD",False,"","","","","**Job Summary**  
We are seeking a motivated and detail-oriented Assistant Manager to join our team. The ideal candidate will play a crucial role in supporting the daily operations of your branch. We are looking for someone who wants a career in an up-and-coming company. We currently have 8 branches open and are expanding. The Assistant Manager is responsible for his/her contact work by phone and in the field. Contact work consists of making contact via the telephone, scheduling office visits with customers, or conducting customer site visits. The Assistant Manager also assists the Branch Manager by selling products and services.

QUALIFICATIONS

Previous experience in collections or the finance industry is a plus. The Assistant Manager must have strong communication skills, leadership skills, problem-solving skills, and computer skills.

REQUIRED

A high school diploma or equivalence is required. The Assistant Manager must have the ability to get a Credit Insurance Agent’s license.

Job Type: Full-time

Pay: $15.00 - $18.00 per hour

Shift:

* Day shift

Work Location: In person","","https://www.indeed.com/cmp/Summit-Financial-Services-of-Sc","","","","","","","","","","","","","2025-06-17 09:17:12.206460","Customer Experience Manager (USA, Remote)"
"in-229fb0b9aaf9bccd","indeed","https://www.indeed.com/viewjob?jk=229fb0b9aaf9bccd","http://www.indeed.com/job/marine-technician-229fb0b9aaf9bccd","Marine Technician","L&M Marine LLC","Pensacola, FL, US","2025-06-17","fulltime","direct_data","yearly",35000.0,80000.0,"USD",False,"","","","","**Attention prospective marine technicians!**

We're thrilled to announce that our company is expanding, and we're offering aggressive incentive-based pay plans to qualified candidates. Located at one of the most established marinas in Pensacola, we represent several new boats lines and offer marine services to our customers with Yamaha, Mercury and Suzuki outboards.

Call today to be part of our exciting growth and opportunities!

**Compensation Plan is based on performance and proficiency of work performed. Our tiered pay structure is based on relatable experience and qualifications in Marine Outboards and Marine systems.**

L&M Marine Florida is looking for a career-driven marine technician with growth potential in a fast-paced service department. Previous outboard motor experience is preferred. Certifications are a huge PLUS!!

**Types of services:**

* Troubleshoot and diagnose mechanical, electrical, and marine components.
* Perform preventative and corrective maintenance on boats and motors.
* Test and perform maintenance on various boat components.
* Repair functions, including engine and electrical work.
* Document and communicate repairs to the service manager.
* Check and complete service bulletins.
* Maintain knowledge of current marine diagnostic technology.
* Knowledge of marine parts and equipment.
* Ability to complete repair orders timely and efficiently.
* Install extra components like Power Poles, trolling motors and marine electronics.

The service technician is a key component in the service department and this role is vital to the success of the department as a whole. Work rendered by the technician plays a direct role in the experience the customer has while their boat is in service. Not only does work performed impact the department, but it impacts the dealership as well. The position of service manager, service advisor, and technician are a direct representation of the service department and the dealership.

Job Type: Full-time

Pay: $35,000.00 - $80,000.00 per year

Benefits:

* 401(k)
* Dental insurance
* Health insurance
* Life insurance
* Paid time off
* Vision insurance

Compensation Package:

* Bonus opportunities
* Commission pay

Schedule:

* 8 hour shift

Work Location: In person","","https://www.indeed.com/cmp/L&M-Marine-LLC-2","","","","","","","","","","","","","2025-06-17 09:17:12.206460","Customer Experience Manager (USA, Remote)"
"in-4ec57c8130851159","indeed","https://www.indeed.com/viewjob?jk=4ec57c8130851159","http://www.indeed.com/job/store-manager-4ec57c8130851159","Store Manager","Cato","Arnold, MO, US","2025-06-17","fulltime","direct_data","yearly",34826.0,43445.0,"USD",False,"","","","","Cato is seeking a Full Time Store Manager to lead its team in Arnold, MO location.

At Cato Fashions, we believe a woman shouldn't have to spend a lot of money to feel confident and beautiful. We want women to count on us for the latest trends at affordable prices. Whether you are looking to dress up for a special occasion, accessorize a new outfit, or just wanting to keep your wardrobe fresh and up-to-date, Cato is here for you every step of the way.

**Responsibilities:**

* Assist in directing the objectives for the entire store including staffing/personnel management, merchandising, expense control, sales generation/customer service, loss prevention, planning and forecasting.

**Qualifications:**

* Three years of retail store management experience required. Multi-store management experience preferred.

*Equal Opportunity Employer*  
*Drug-free workplace*  
*You must be at least 18 years of age to be employed by the company.*

Job Type: Full-time

Benefits:

* 401(k)
* 401(k) matching
* Dental insurance
* Employee discount
* Flexible schedule
* Health insurance
* Paid time off
* Vision insurance

Shift:

* Day shift
* Evening shift
* Morning shift

Work Location: In person","","https://www.indeed.com/cmp/Cato-7e2076f7","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/a8455864135ca7a0f1c71e39e9aaf4db","https://www.catofashions.com","Charlotte, NC","10,000+","Decline to state","The Cato Corporation is a growing company with exciting positions in field management and corporate support.","","","","","","","2025-06-17 09:17:12.206460","Customer Experience Manager (USA, Remote)"
"in-748a089a46b95357","indeed","https://www.indeed.com/viewjob?jk=748a089a46b95357","http://www.indeed.com/job/assistant-general-manager-748a089a46b95357","Assistant General Manager","Honey Baked Ham Co. LLC","St. Louis, MO, US","2025-06-17","fulltime","","","","","",False,"","","","","**Call it a launchpad for your management career**

Call it HoneyBaked boot camp. Call it real life business school. Whatever you call it, you’ll find our multi week training program to be both a challenge and an opportunity. Unlike most companies, we don’t take a sink-or-swim approach to management. HoneyBaked believes in growth and development and you’ll have experienced trainers to help you develop sales, leadership and core management skills. We’re not hiring you to make sandwiches. We’re hiring you to make decisions, so it’s only fair we give you the tools to do the job.

Our Assistant Managers are full-time, salaried positions that oversee production and assist with store operations including achieving overall performance goals with sales, customer service, product quality, and staff development.

**Our Ideal Candidate:**

* Is a current ready-to-advance Assistant Manager OR Supervisor from a retail or restaurant environment who is passionate about personal, hands-on service for their customers
* Can show how they’ve grown in previous roles
* Would never compromise on the quality of the products they serve/sell
* Is someone who understands how different costs affect the profitability of a business and how to control those costs
* Wants to build relationships in the community and increase sales for their store
* Is a great coach who can identify and develop awesome talent (experience hiring seasonal workers a plus!)

**What Makes US Different?**

We’re a 65+ year old brand with uncompromised quality…but we’re #notstuffy

We believe in balance. We’re closed on Sundays, and, other than four or five weeks a year, managers typically work about 50 hours per week.

Our managers have full accountability of their store operations.

Our Values – yeah, every company says that. We really mean it.

* Love What We Do
* Serve Others
* Aim High
* Do The Right Thing
* Keep It Fun

**What Can We Offer You?**

* Competitive pay and benefits, including a 401(k) with a great match
* Better balance in your life – our operating hours mean minimal early mornings and late nights
* A leadership development program to grow the best of the best. We’re proud of the many people who’ve moved from store associate to senior leadership…and even to franchise ownership!
* An environment where you’ll see the impact you make

We're proud of our company and to be an equal opportunity employer. Applicants for employment are considered without regard to race, sex, color, citizenship, national origin, religion, age, marital status, disability, military/uniformed service, sexual orientation, gender identity or expression or any other protected class under applicable federal, state or local law.

Job Type: Full-time

Benefits:

* 401(k)
* Flexible schedule
* Vision insurance

Shift:

* 8 hour shift

License/Certification:

* Driver's License (Required)

Shift availability:

* Day Shift (Required)

Work Location: In person","Food And Beverages","https://www.indeed.com/cmp/Honey-Baked-Ham-Co.-LLC","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/08cfe7ee48b8731201008dc12184cb81","https://www.honeybaked.com","Alpharetta","1,001 to 5,000","less than $1M (USD)","At HoneyBaked, we believe in being authentic in everything we do and, after more than 60 years in business, we’re still deeply committed to Making Meals Memorable.","","","","","","","2025-06-17 09:17:12.206460","Customer Experience Manager (USA, Remote)"
"in-642eca3ad3be9c33","indeed","https://www.indeed.com/viewjob?jk=642eca3ad3be9c33","http://www.indeed.com/job/senior-advisor-642eca3ad3be9c33","Senior Advisor","Assisted Living Pros","San Antonio, TX, US","2025-06-17","fulltime","direct_data","yearly",70000.0,100000.0,"USD",False,"","","","","We are currently seeking a Senior Advisor for the Austin, TX Territory, who values the power and strength of relationship building with referral partners, industry colleagues, and clients.

As a Senior Advisor, you will be responsible for making in-person sales calls to Skilled Nursing Facilities and Hospitals within your specific territory, visiting with Social Workers and Case Managers. The Senior Advisor (SA) will visit with these potential referral partners to educated them on how we can be a resource to them as they discharge patients who may not be appropriate to safely return home.

A Senior Advisor (SA) works closely with referred families to give Senior Living options for their loved one, based on budget, location and assistant serviced required. The Senior Advisor will accompany family members on community tours offering guidance and expertise to clients.

You will create strong relationships with clients, social workers and senior communities and consummate deals that lead to long-lasting, successful partnerships.

Please visit our website for more information about Assisted Living Pros and its services.

www.assistedlivingpros.net

Responsibilities:

* Maintain positive relationships with referral partners, industry partners and clients at all times.
* Represent Assisted Living Pros in a professional and ethical manner in all that you do.
* Manage software (Salesforce) customer relationship management (CRM) for all of your customer-based activity.
* Manage multiple cases/ projects at the same time.
* Provide strategic planning for your specific territory.
* Stay informed about developments in your territory, and related disciplines.

Ideal Candidate: Senior Industry Professional who has established relationships with Social Workers and Case Managers within the above mentioned territory.

Requirements for Consideration :

Current Senior Industry sales experience required

2 + years outside sales experience required

Job Type: Full-time

Salary + Commission + Bonuses + Car Allowance + Benefits

First Year Earning Potential: $70,000 - $90,000 per year

Benefits:

* 401(k)
* 401(k) matching
* Health insurance
* Dental
* Vision
* Paid time off
* Marketing Allowance
* Cell Phone Allowance
* Vehicle Allowance

Job Type: Full-time

Pay: $70,000.00 - $100,000.00 per year

Benefits:

* 401(k)
* 401(k) matching
* Dental insurance
* Health insurance
* Paid time off
* Vision insurance

Schedule:

* Monday to Friday

Work Location: In person","","https://www.indeed.com/cmp/Assisted-Living-Pros","","","","","","","","","","","","","2025-06-17 09:17:12.206460","Customer Experience Manager (USA, Remote)"
"in-9b0597dfc9116cc9","indeed","https://www.indeed.com/viewjob?jk=9b0597dfc9116cc9","http://www.indeed.com/job/property-manager-9b0597dfc9116cc9","Property Manager","5 West Group","Saginaw, MI, US","2025-06-17","fulltime","direct_data","yearly",50000.0,63000.0,"USD",False,"","","","","Responsibilities:  
- Oversee the day-to-day operations of properties, including facilities management and property maintenance.  
- Manage tenant relationships and address any concerns or issues that may arise.  
- Utilize a Computerized Maintenance Management System (CMMS) to track and schedule maintenance tasks.  
- Negotiate and manage contracts with vendors and service providers.  
- Conduct regular property inspections to ensure compliance with safety and maintenance standards.  
- Handle tenant inquiries and requests, providing excellent customer service and resolving issues in a timely manner.  
- Maintain accurate records of property-related activities, including data entry and documentation.  
- Implement strategies to maximize occupancy rates and upsell additional services to tenants.

Qualifications:  
- Previous experience in property management or a related field is preferred.  
- Strong customer relationship management skills, with the ability to effectively communicate with tenants and address their needs.  
- Proficient in using office software applications, such as Microsoft Office Suite.  
- Excellent phone etiquette and interpersonal skills.  
- Detail-oriented with strong organizational and time management abilities.  
- Ability to work independently and prioritize tasks effectively.

Note: This job description is not intended to be all-inclusive. The employee may perform other related duties to meet the ongoing needs of the organization.

**Summary**

As a Property Manager, you will be responsible for overseeing the daily operations of multi-family properties, ensuring compliance with Fair Housing regulations and maintaining high standards of customer service. Your core skills in property management and leasing will be essential in managing tenant relations and property maintenance. Utilizing premium skills such as knowledge of landlord-tenant law and proficiency in property management software will enhance your effectiveness. With strong time management and phone etiquette, you will play a vital role in fostering positive relationships with tenants and ensuring the property is well-managed and profitable.

Job Type: Full-time

Pay: $50,000.00 - $63,000.00 per year

Benefits:

* Dental insurance
* Employee discount
* Health insurance
* Paid time off
* Vision insurance

Schedule:

* Monday to Friday

Experience:

* Property management: 2 years (Required)

Ability to Commute:

* Saginaw, MI 48603 (Required)

Work Location: In person","","https://www.indeed.com/cmp/5-West-Group","","https://5westgroup.com","Lakewood, NJ
","","","","","","","","","","2025-06-17 09:17:12.206460","Customer Experience Manager (USA, Remote)"
"in-2f03f2e2d5225150","indeed","https://www.indeed.com/viewjob?jk=2f03f2e2d5225150","http://www.indeed.com/job/e-billing-specialist-2f03f2e2d5225150","E Billing Specialist","Skill bridge Global, Inc","Kansas City, KS, US","2025-06-17","fulltime","direct_data","yearly",75000.0,93000.0,"USD",False,"","","","","The E-Billing Specialist position supports the billing and collection process by ensuring invoices are successfully submitted electronically according to client requirements. E-Billing staff should possess knowledge of, and experience using, various legal vendor electronic billing websites in order to fully support the revenue staff. Primary responsibilities include vendor/client/matter setups, monitoring the ebilled inventory statuses, and assisting revenue staff with resolving rejections.

* Assist Billing and Collections in accurately setting up matters in 3E according to client guidelines, including matter IDs, time increments, timekeeper titles and task/activity codes.
* Work with clients and ebilling vendors to complete onboarding process, confirming that all prerequisites have been met in preparation for invoice submission.
* Configure new client setups within BillBlast to comply with client billing requirements.
* Proactively monitor status of ebilled inventory for rejections and delayed client approvals.
* Collaborate with Billing and Collections team to identify rejection reasons and assist in troubleshooting, resubmission, and appealing of invoices.
* Establish relationships with our clients’ financial/ebilling teams and maintain effective & open lines of communication to assure assistance in expeditious payments of our invoices.
* Respond to client inquiries/questions in a timely manner and escalate issues as needed to Supervisor, Manager, Director or other firm management as needed.
* Communicate and effectively work with attorneys and other administrative departments within the Firm to provide a solution oriented customer service experience.

* Confirm compliance with the firm’s accounting, billing and collection policies, and ensure integrity of the firm’s financial and operating information.

* Prepare various reports and analyses, as requested.

* Provide coverage during absence of other team members.

* Other responsibilities within the billing/collection function as they may be assigned from time-to-time.

· A Bachelor’s degree or equivalent is recommended; preferably in Accounting or Business.  
· 3+ years’ experience in a large law firm billing department or comparable industry.  
· Proficiency in Elite Enterprise or 3E preferred; experience with Design Gallery, ARCS, Target\\*Cash, Intapp Open and Intapp Time is a plus.  
· Experience with BillBlast, eBilling Hub and E-Billing vendor sites preferred.  
· Proficiency in MS Outlook, Word, Excel, and Power Point.  
· Strong written and verbal communication skills.  
· Ability to work independently and with a large team, and meet strict deadlines; detail oriented.  
· Flexibility with overtime when necessary.

Job Type: Full-time

Pay: $75,000.00 - $93,000.00 per year

Schedule:

* 8 hour shift
* Day shift
* Monday to Friday

Ability to Commute:

* Kansas City, KS 66102 (Required)

Ability to Relocate:

* Kansas City, KS 66102: Relocate before starting work (Required)

Work Location: In person","","https://www.indeed.com/cmp/Skill-Bridge-Global,-Inc-1","","","","","","","","","","","","","2025-06-17 09:17:12.206460","Customer Experience Manager (USA, Remote)"
