"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","date_scraped","search_query"
"in-2f0a59029dc8d628","indeed","https://www.indeed.com/viewjob?jk=2f0a59029dc8d628","http://www.indeed.com/job/salesforce-business-professional-2f0a59029dc8d628","Salesforce Business Professional","Vision","Elkhorn, NE, US","2025-06-17","fulltime","direct_data","yearly",75000.0,110000.0,"USD",False,"","","","","Salesforce Business Analyst/Quality Assurance (BA/QA)

Location: Onsite in Elkhorn, NB

Job Summary:

We are looking for a skilled and detail-oriented Salesforce Business Analyst/Quality Assurance (BA/QA) professional to join our team. This role will primarily focus on manual testing and quality assurance within Salesforce, with potential opportunities to develop and implement automation processes in the future. The ideal candidate should be comfortable working with standard tools like Azure DevOps, Jira, and Lucidcharts, and have experience testing in an Agile environment. Knowledge of Salesforce, including Apex, Lightning, Sales Cloud, and Marketing Cloud, is essential for success in this position.

Key Responsibilities:

- Conduct manual testing of Salesforce functionality, including validation of test cases and User Acceptance Testing (UAT).

- Collaborate with stakeholders to define and document test cases, ensuring they align with project requirements and business needs.

- Utilize tools like Jira for status tracking, reporting, and project management within an Agile framework.

- Assist in setting up and managing test environments and reporting using Azure DevOps (standard tools are sufficient).

- Perform testing on Salesforce Sales Cloud, Marketing Cloud, Apex, and Lightning components.

- Use the Test Suite Manager module within Azure DevOps to manage test execution and results.

- Review and troubleshoot test results, identify issues, and work with development teams to resolve them.

- Leverage Lucidcharts for visual documentation of process flows, requirements, and systems.

- Ensure consistent and thorough documentation of test cases, results, and defects.

- Work closely with team members across development, business analysis, and product management to ensure quality is maintained throughout the project lifecycle.

- Provide recommendations for improving quality assurance processes as the organization looks to implement automation in the future.

Required Skills & Qualifications:

- 2-5 years of experience in Salesforce BA/QA roles, with a focus on manual testing.

- Proficient in Salesforce technologies, including Apex, Lightning, Sales Cloud, and Marketing Cloud.

- Basic knowledge of Azure DevOps and Jira for project management and status tracking.

- Strong understanding of Agile methodologies and the ability to work effectively in Agile environments.

- Experience in writing and executing test cases, including UAT.

- Familiarity with SQL queries for data validation during testing.

- Experience using Lucidcharts for documentation purposes.

- Strong communication skills, with the ability to work collaboratively in a cross-functional team.

Desired Skills:

- Experience with test automation tools (not required but highly desired).

- Knowledge of additional testing tools and methodologies.

Job Type: Full-time

Pay: $75,000.00 - $110,000.00 per year

Education:

* Bachelor's (Required)

Experience:

* manual: 5 years (Required)
* test cases: 5 years (Required)
* Azure devops: 5 years (Required)
* Jira: 5 years (Required)
* agile: 5 years (Required)
* Lucid charts: 5 years (Required)
* Salesforce: 5 years (Required)
* apex, lighting, sales and marketing cloud: 5 years (Required)
* Query SQL: 5 years (Required)
* UAT : 5 years (Required)
* Test functionality: 5 years (Required)
* Salesforce BA/QA : 5 years (Required)

Ability to Commute:

* Elkhorn, NE 68022 (Required)

Work Location: In person","","https://www.indeed.com/cmp/Vision-6924cb1d","","","","","","","","","","","","","2025-06-17 08:54:02.154332","Data Analyst (USA, Remote)"
"in-4827cb985ce9cae1","indeed","https://www.indeed.com/viewjob?jk=4827cb985ce9cae1","http://www.indeed.com/job/business-analyst-4827cb985ce9cae1","Business Analyst","St Jardins","Richmond, VA, US","2025-06-17","contract","","hourly","","","USD",True,"","","","","ROLE DESCRIPTION, DAY TO DAY:

* Conducts project initiation activities to identify new problems and objectives related to computer applications

and identifies issues to be addressed in the Requirements Definition Phase.

* Conducts requirements elicitation and documentation for new applications or enhancements to current

applications.

* Works with business and Information Systems staff to determine needs and produce an SDLC compliant

Requirements Definition document that completely and clearly defines the requirements within the  
established time frame.

* Ensures documented requirements are clear, concise, complete, and meet established agency guidelines and standards.
* Assists with the development of applicable processes and templates as needed and directed by project leadership to ensure documentation is in a standard, easy to use, and repeatable format.
* Attends application design and development scrum meetings to represent business needs and requirements

during design and development processes.

* Write and execute system test plans to verify the system meets all documented requirements.
* Perform manual testing on web applications and verify successful completion of test plans.
* Create testing plans to confirm that application meets requirements and design specifications.
* Document bugs and application insufficiencies with sufficient information to allow a developer to reproduce issues so they can be corrected.
* Assist with the development of user testing scripts for User Acceptance Testing.

REQUIRED QUALIFICATIONS:

* Extensive experience in business and systems analysis, requirements documentation, system development life cycle, and agile application development methodologies such as Scrum.
* Extensive experience defining and documenting user requirements from multiple sources, with the ability to prepare complex documents to effectively relay these requirements to both business users and developers.
* Extensive experience supporting application development, maintenance, and implementation, systems analysis and design, and business process improvement.
* Extensive experience defining and documenting business processes and mapping or developing processes in a new system.
* Experience manually performing testing on a web application.
* Considerable experience in testing complex systems to determine that business needs are met.
* Ability to write and execute test plans and scripts according to identified standards.
* Experience conducting meetings and documenting project decisions.
* Ability to identify and document bugs or insufficiencies in a web application.
* Ability to successfully participate in a development team, help foster a team environment, and effectively communicate both orally and in writing.

PREFERRED QUALIFICATIONS:

* Familiarity with web application software development projects using .Net.
* Familiarity with documenting requirements in Microsoft Team Foundation Server.

Job Type: Contract

Pay: From $70.00 per hour

Benefits:

* 401(k)
* Health insurance
* Paid time off

Schedule:

* 8 hour shift

Work Location: Hybrid remote in Richmond, VA 23219","","https://www.indeed.com/cmp/St-Jardins","","","","","","","","","","","","","2025-06-17 08:54:02.154332","Data Analyst (USA, Remote)"
"in-af756f1060b3bc1d","indeed","https://www.indeed.com/viewjob?jk=af756f1060b3bc1d","http://www.indeed.com/job/data-analyst-af756f1060b3bc1d","Data Analyst","Mass Recruiter Inc","Sheridan, WY, US","2025-06-17","fulltime","direct_data","yearly",65000.0,85000.0,"USD",False,"","","","","**Job Summary**  
We are seeking a detail-oriented and analytical Data Analyst to join our dynamic team. The ideal candidate will play a crucial role in interpreting data and transforming it into actionable insights that drive business decisions. This position requires proficiency in data visualization tools and programming languages, as well as a strong understanding of the software development life cycle (SDLC) and agile methodologies.

**Duties**

* Collect, clean, and organize large datasets from various sources to prepare for analysis.
* Utilize data visualization tools such as Tableau and Power BI to create meaningful reports and dashboards.
* Analyze complex datasets using programming languages like Python and R to identify trends, patterns, and anomalies.
* Collaborate with cross-functional teams to understand their data needs and provide analytical support.
* Participate in the software development life cycle (SDLC) by contributing to project planning, execution, and review phases.
* Employ agile methodologies to ensure timely delivery of data-driven insights.
* Present findings clearly and effectively to stakeholders, using data storytelling techniques to communicate complex information.

**Skills**

* Strong proficiency in data analysis skills with the ability to interpret complex datasets.
* Experience with data visualization tools such as Tableau and Power BI is essential.
* Proficiency in programming languages including Python and R for data manipulation and analysis.
* Familiarity with SDLC processes and agile project management methodologies.
* Ability to analyze trends and make predictions based on historical data (vaticinate).
* Strong problem-solving skills with a knack for smashing through challenges creatively.
* Excellent communication skills, both verbal and written, with the ability to present findings effectively.

Join our team as a Data Analyst where your analytical skills will contribute significantly to our strategic goals!

Job Type: Full-time

Pay: $65,000.00 - $85,000.00 per year

Schedule:

* 8 hour shift

Work Location: In person","","https://www.indeed.com/cmp/Mass-Recruiter-Inc","","","","","","","","","","","","","2025-06-17 08:54:02.154332","Data Analyst (USA, Remote)"
"in-e48a16dea7e7c14a","indeed","https://www.indeed.com/viewjob?jk=e48a16dea7e7c14a","http://www.indeed.com/job/business-analyst-locals-only-e48a16dea7e7c14a","Business Analyst (Locals Only)","Evoke Technologies Inc","Albany, NY, US","2025-06-17","contract","direct_data","yearly",97760.0,106080.0,"USD",False,"","","","","**Title: Business Analyst**

Location: Albany, NY

Length: 24 Months

84 Months experience performing requirements elicitation. Researching and understanding the stakeholder’s business needs using a variety of analysis techniques and converting those into verified and validated functional and non-functional requirements for development.

84 Months experience creating and maintaining software development artifacts for communication of requirements, including context diagrams, textual use cases, swim lane diagrams, report specifications, wireframes, user interface specifications, and non-functional requirements specifications.

84 Months experience facilitating requirement workshops, JAD sessions and structured walkthroughs, practicing effective communication to ensure requirements are understood, conveyed, and met.

72 Months experience creating test plans/cases, managing defects with development teams, and working with users on User Acceptance Testing.

72 Months experience managing requirements throughout the Requirements Management Lifecycle, including creation and execution of a Requirements Management Plan, Requirements Traceability, establishing requirements baselines and managing requirements change control

CBAP (Certified Business Analysis Professional) certification by the International Institute of Business Analysis (IIBA)

Job Type: Contract

Pay: $47.22 - $51.28 per hour

Expected hours: 40 per week

Schedule:

* 8 hour shift

Experience:

* Business analysis: 9 years (Required)

License/Certification:

* CBAP (Required)

Ability to Commute:

* Albany, NY 12202 (Required)

Ability to Relocate:

* Albany, NY 12202: Relocate before starting work (Required)

Work Location: In person","","https://www.indeed.com/cmp/Evoke-Technologies-Inc","","","","","","","","","","","","","2025-06-17 08:54:02.154332","Data Analyst (USA, Remote)"
"in-1c1a0afd8b377cb3","indeed","https://www.indeed.com/viewjob?jk=1c1a0afd8b377cb3","http://www.indeed.com/job/time-tracking-business-analyst-workday-ukgpro-1c1a0afd8b377cb3","Time Tracking Business Analyst (Workday, UKGPro)","Corelleaf Design Studio","Cary, NC, US","2025-06-17","contract","direct_data","yearly",187200.0,195520.0,"USD",False,"","","","","**Description:**

**Job Summary:**  
We are seeking a highly skilled and experienced Time Tracking Business Analyst to join our team on a temporary basis. The ideal candidate will have 5-8 **years of experience** in time tracking systems, with a strong background in Workday, UKGPro, Field Service Lightning, and other related platforms. Experience with integrations, payroll process mapping, compliance, and government prevailing wage is a plus.

This is a business analyst role, so someone who is a clear communicator, can work with cross functional stakeholders, organized and efficient.

**Key Responsibilities:**  
Analyze and optimize time tracking systems to ensure accurate and efficient data collection, end-to-end process mapping and complete requirements gathering.  
Collaborate with cross-functional teams to implement and integrate time tracking solutions.  
Conduct detailed analysis of business requirements and translate them into technical specifications.  
Develop and maintain documentation for time tracking processes and systems.  
Provide training and support to end-users on time tracking systems.  
Assist in payroll process mapping and integration efforts.  
Monitor system performance and troubleshoot issues as they arise.  
Ensure compliance with relevant labor laws and regulations, including government prevailing wage requirements.  
Conduct audits and reviews of time tracking data to ensure accuracy and compliance.  
Develop and implement best practices for time tracking and payroll processes.  
Work closely with HR and finance teams to ensure seamless integration of time tracking data with payroll systems.

Qualifications**:**  
Bachelor's degree in Business Administration, Information Technology, or a related field.  
5-8 **years of experience** as a Time Tracking Business Analyst.  
Proficiency in Workday, UKGPro, Field Service Lightning, and other time tracking systems.  
Strong analytical and problem-solving skills.  
Excellent communication and interpersonal skills.  
Experience with system integrations and payroll process mapping is highly desirable.  
Knowledge of compliance and government prevailing wage requirements.  
Ability to work independently and manage multiple priorities in a fast-paced environment.  
Candidates must have project implementation experience with UKGPro and Workday Time Tracking.

**Preferred Skills:**  
Knowledge of additional time tracking systems and tools.  
Experience with project management methodologies.  
Familiarity with data analysis and reporting tools.

Note**:**  
Role is hybrid - candidates will need to attend onsite to work 3 days a week.

Job Type: Contract

Pay: $90.00 - $94.00 per hour

Expected hours: 40.00 per week

Schedule:

* 8 hour shift

Ability to Commute:

* Cary, NC 27511 (Preferred)

Ability to Relocate:

* Cary, NC 27511: Relocate before starting work (Preferred)

Work Location: In person","","https://www.indeed.com/cmp/Corelleaf-Design-Studio","","","","","","","","","","","","","2025-06-17 08:54:02.154332","Data Analyst (USA, Remote)"
"in-3ecd737147ac051f","indeed","https://www.indeed.com/viewjob?jk=3ecd737147ac051f","https://jobs.smartrecruiters.com/CornerstoneBuildingBrandsCareers/3743990008327979-it-business-analyst","IT Business Analyst","Cornerstone Building Brands","Houston, TX, US","2025-06-17","fulltime","direct_data","yearly",75000.0,100000.0,"USD",True,"","","","HRCompliance@cornerstone-bb.com, HRCompliance@cornerstone-bb.com","**Job Description**

The IT Business Analyst will lead the evolution and optimization of our Accounts Payable platform by implementing world-class processes, automation, and real-time analytics across the entire AP lifecycle. The role will own the end-to-end AP automation journey—partnering with Finance and IT teams to eliminate manual effort, accelerate payments, and deliver strategic insights. In this high-visibility, fully remote role, you will shape best-in-class processes and drive measurable business impact.

Key Performance Indicators

* No-Touch Invoice %: Percentage of invoices processed without manual intervention
* Discount % Achieved: Percentage of available early-payment discounts successfully captured
* Automated Response Rate: Percentage of vendor or internal payment inquiries automatically sourced and answered within SLA

Core Responsibilities

* Vendor & Stakeholder Management
  + Cultivate strong relationships with AP business leads, shared-services teams, and external DocuWare consultants or vendors
    - Elicit, prioritize, and validate business requirements; manage expectations and ensure SLA compliance
* Change Management & Training
  + Design and execute rollout strategies, including communications plans and hands-on training sessions
  + Develop clear documentation, runbooks, and step-by-step guides for both technical users and business stakeholders
* System Design & Automation
  + Architect and configure automated workflows in DocuWare and connected integration layers
  + Build, test, and maintain REST API calls and JSON payloads for upstream/downstream systems
  + Leverage middleware/iPaaS platforms (e.g., Boomi, MuleSoft, Power Automate) to orchestrate data flows, exception handling, and notifications

  
**Qualifications**  

* 5+ years in Accounts Payable management or finance shared-services roles within a large enterprise
* Proven track record of driving high-impact process improvements and automation projects
* Exceptional business-analysis capabilities: process mapping, user-story creation, and requirements gathering
* Strong communicator: fluent in translating technical solutions into clear business language
* Experience supporting Procure-to-Pay processes and technical integrations between procurement and AP systems
* Expertise in BPM or work-item orchestration platforms (e.g., Camunda, IBM BPM, Appian, Azure Logic Apps) for modeling and automating complex AP workflows
* Familiarity with Oracle EBS R12 payment interfaces or comparable ERP environments
* Hands-on administration of DocuWare or similar DMS, combined with OCR/IDP technology experience for invoice capture automation
* Background in leading Accounts Payable transformation initiatives, including P2P mapping and system redesign
* SQL: Craft basic T-SQL queries and stored procedures for data retrieval and troubleshooting
* APIs: Design and validate RESTful services and JSON schemas for seamless system interaction
* iPaaS: Utilize at least one integration platform (e.g., Boomi, MuleSoft, Power Automate) to manage interfaces
* P2P Systems & Integration: Deep understanding of Procure-to-Pay modules, their integration with AP systems, and end-to-end P2P workflows

  
**Additional Information**

**Why work for Cornerstone Building Brands?**

Our teams are at the heart of our purpose to positively contribute to the communities where we **live, work and play**. Full-time\\* team members receive\\*\\* medical, dental and vision benefits starting day 1. Other benefits include PTO, paid holidays, FSA, life insurance, LTD, STD, 401k, EAP, discount programs, tuition reimbursement, training, and professional development. You can also join one of our Employee Resource Groups which help support our commitment to providing a diverse and inclusive work environment.

\\*Full-time is defined as regularly working 30+ hours per week. \\*\\*Union programs may vary depending on the collective bargaining agreement.

All your information will be kept confidential according to EEO guidelines.

Salary Range: $75,000 - $100,000

**Why work for Cornerstone Building Brands?**

Our teams are at the heart of our purpose to positively contribute to the communities where we **live, work and play**. Full-time\\* team members receive\\*\\* medical, dental and vision benefits starting day 1. Other benefits include PTO, paid holidays, FSA, life insurance, LTD, STD, 401k, EAP, discount programs, tuition reimbursement, training, and professional development.

\\*Full-time is defined as regularly working 30+ hours per week. \\*\\*Union programs may vary depending on the collective bargaining agreement.

**Cornerstone Building Brands is an Equal Opportunity Employer.**

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, pregnancy, genetic information, disability, or status as a protected veteran. You can find the Equal Employment Opportunity Poster here. You can also view Your Right to Work Poster here along with This Organizations Participation in E-Verify Poster here. If you'd like to view a copy of the company's affirmative action plan for protected veterans or individuals with disabilities or policy statement, please contact Human Resources at 281-897-7788 or HRCompliance@cornerstone-bb.com. If you have a disability and you believe that you need a reasonable accommodation in order to search for a job opening or to submit an online application, please contact Human Resources at 281-897-7788 or HRCompliance@cornerstone-bb.com. This email is used exclusively to assist disabled job seekers whose disability prevents them from being able to apply online. Only emails received for this purpose will be returned. Messages left for other purposes, such as following up on an application or technical issues not related to a disability, will not receive a response.  
  
California Consumer Privacy Act (CCPA) of 2018  
  
*Must be at least 18 years of age to apply.*  
  
**Notice of Recruitment Fraud**

We have been made aware of multiple scams whereby unauthorized individuals are using Cornerstone Building Brand's name and logo to solicit potential job-seekers for employment. In some cases, job-seekers are being contacted directly, both by phone and e-mail. In other instances, these unauthorized individuals are placing advertisements for fake positions with both legitimate websites and fabricated ones. These individuals are typically promising high-paying jobs with the requirement that the job-seeker send money to pay for things such as visa applications or processing fees. Please be advised that Cornerstone Building Brands will never ask potential job-seekers for any sort of advance payment or bank account information as part of the recruiting or hiring process.","","https://www.indeed.com/cmp/Cornerstone-Building-Brands","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/2e9aaa93239f2a4f8653a92784c484ab","https://www.cornerstonebuildingbrands.com","Cary, NC","10,000+","Decline to state","Cornerstone Building Brands is a premier exterior building solutions provider committed to creating value for our customers and our communities. ","","","","","","","2025-06-17 08:54:02.154332","Data Analyst (USA, Remote)"
"in-7aa3db38251f8044","indeed","https://www.indeed.com/viewjob?jk=7aa3db38251f8044","http://www.indeed.com/job/senior-financial-analyst-hybrid-7aa3db38251f8044","Senior Financial Analyst (Hybrid)","Digitive LLC","Grand Blanc, MI, US","2025-06-17","fulltime","direct_data","yearly",80000.0,90000.0,"USD",False,"","","","","***FULL TIME POSITION/PERM POSITION***

**\\*\\*\\*HYBRID OPTIONS AVAILABLE--HM preferring a LOCAL candidate to occasionally come in-office.\\*\\*\\***

The **Senior Decision Support Analyst** provides corporate financial and statistical analysis to assess the financial and operational impacts of management decisions and proposals.

**Job responsibilities include, but are not limited to, the following:**

* Provide analytical operations support using a variety of data sources. Analyze and interpret data to provide information for management decisions.
* Analyze data to identify areas of opportunity, develop proposals and strategies for program development and revisions to existing programs.
* Identify cost control and cost management issues and recommend actions to resolve.
* Prepare and assist in the preparation of a variety of strategic and operational studies and analyses to improve system performance and make recommendations for operational improvements.
* Responsible for maintaining reporting data integrity by verifying accuracy of data.
* Provide assistance and support in implementing new systems.
* Must be comfortable working with large sets of data.

Submission Requirements

* **Bachelor’s degree in accounting, business, finance, healthcare administration or related area. - Required**
* **Five years of prior experience in healthcare finance or healthcare financial analysis** **to include experience working with hospital clinical/claim and financial data, working with large databases, cost experience; data extraction and analysis and the ability to extract data and analyze using a variety of tools including Access and Excel. - Required**
* **OR Ten years of prior experience in healthcare finance or healthcare financial analysis to include experience working with hospital clinical/claim and financial data, working with large databases; data extraction and analysis and the ability to extract data and analyze using a variety of tools including SQL, Access, Excel (IF YOUR CANDIDATE DOES NOT MEET THE EDUCATIONAL REQUIREMENT). - Required**
* Master’s degree in Business Administration or Healthcare Administration - Preferred
* One year of experience with healthcare contract management/reimbursement systems and knowledge of healthcare reimbursement methodologies. - Preferred
* **Tableau experience. - Strongly Preferred**
* **SQL experience. - Strongly Preferred**
* **Cost accounting experience. - Strongly Preferred**
* **\\*\\*\\*HM looking for Proforma and Cost Accounting experience specifically.\\*\\*\\***

*Digitive LLC is an Equal Opportunity Employer/Partner, dedicated to fostering an inclusive environment. We do not discriminate based on race, religion, gender, nationality, caste, disability, or any legally protected characteristic. We ensure opportunities for all, based on skills, qualifications, and performance.*

Job Type: Full-time

Pay: $80,000.00 - $90,000.00 per year

Schedule:

* 8 hour shift
* Day shift
* Monday to Friday

Education:

* Bachelor's (Required)

Experience:

* healthcare finance or healthcare financial analysis : 5 years (Required)
* healthcare contract management/reimbursement systems: 1 year (Required)

License/Certification:

* Bachelor’s degree in accounting (Required)
* Bachelor’s degree in Business, finance (Required)
* Bachelor’s degree in healthcare administration (Required)
* Tableau experience (Required)
* SQL experience (Required)
* Cost accounting experience (Required)

Work Location: In person","","https://www.indeed.com/cmp/Digitive-LLC","","","","","","","","","","","","","2025-06-17 08:54:02.154332","Data Analyst (USA, Remote)"
"in-62668c0dd7ea43fe","indeed","https://www.indeed.com/viewjob?jk=62668c0dd7ea43fe","http://www.indeed.com/job/management-analyst-62668c0dd7ea43fe","Management Analyst","Matlock","Washington, DC, US","2025-06-17","fulltime","direct_data","yearly",95000.0,125000.0,"USD",False,"","","","","**Position Title**

**Management Analyst**

**Location:** Washington, DC  
**Salary Range:** $95,000 - $125,000  
**Work Hours:** Standard hours  
**Job Type:** Full-time

**Note: This position is contingent upon Matlock being awarded a contract**.

**Mission**

Matlock champions client success by delivering innovative technical solutions, exceptional experiences, and unwavering partnerships. We are a high-performing, mission-driven team united by purpose and a commitment to excellence.

**Vision**

**Brand Vision**  
To revolutionize our industry by delivering cutting-edge technology, human-centered innovation, and an unrivaled client experience that drives measurable impact to hundreds of clients.

**Revenue Vision**  
Through innovative technology, exceptional experiences, and relentless execution, we will transform industries and lives—reaching $500 million in revenue along the way.

**People Vision**  
To be the company where 500+ people will be doing the best work of their lives—empowered by purpose, challenged to lead, and supported to grow.

**Core Values**

**Integrity**  
We do the right thing even when it’s hard and when no one’s watching. Integrity builds trust, and trust builds everything else.

**Excellence**  
We show up as our best, every day, because how we do anything is how we do everything.

**Growth**  
We push boundaries, scale our impact, and elevate our people.

**Partnership**  
We build collaborative relationships with our clients, working as an extension of their team to achieve shared goals.

**Execution & Efficiency**  
We prioritize smart decision-making, streamlined processes, and results-driven action.

**Courage**  
We embrace bold ideas and smart risks. Progress doesn’t come from playing it safe; it comes from believing we can change what’s possible.

**Position Summary**

Matlock is looking for a **Management Analyst** to provide technical assistance to the Internal

Revenue Service (IRS) Enterprise Data Platform (EDP) program. The Management Analyst will

join a team of professionals to create a complex Enterprise Solution for centralized data storage

and access to the IRS EDP. The team will provide the necessary architecture, engineering,

technical advisory, design, development, post deployment and strategic support to the EDP

program and build data pipelines, data products, data access, and analytics to support the

Information Technology (IT) Modernization at IRS.

**About Us**

**Why we exist**  
Matlock exists to champion client success by delivering innovative technical solutions, providing exceptional experiences, and building unwavering partnerships. We are committed to empowering mission success and driving measurable outcomes for our clients.

**Where we are going**  
We are on a path to become a leading force in cybersecurity, technical solutions, and mission support—transforming industries and lives while scaling our impact to reach $250 million in revenue.

**How the culture is defined**  
Our culture is mission-driven, people-focused, and growth-oriented. We foster an environment where excellence is expected, integrity is non-negotiable, and employees are empowered to push boundaries, innovate, and lead.

**Key Objectives**

· Collect and document technical and business requirements for data pipelines and analytics products.

· Collaborate with IRS EDP customers and intake teams to support onboarding and

· planning.

· Assist in creating OneSDLC documentation and updating security artifacts as needed.

· Participate in operational support and contribute to security, compliance, and quality

· assurance tasks.

· Develop reports and presentations; deliver walkthroughs and training sessions.

**Competencies**

Required: Extensive IT experience to include:

· Demonstrated experience gathering requirements for at least 2 IT data pipeline or data

warehousing projects of comparable scale.

Preferred:

· Experience with IRS or other federal agency environments.

· Strong skills in technical writing, documentation, and process mapping.

· Familiarity with security and compliance protocols related to federal data systems.

· Experience using tools like Confluence, Visio, PowerPoint, and Tableau.

· Understanding of Agile/Scrum practices and experience supporting cross-functional

teams.

**Education & Experience**

* Bachelor’s degree in a relevant technical major.
* Three years’ experience working on Federal government contracts.

**Physical Requirements**

* Office-based, standing, sitting, light travel, etc.

**Diversity Statement**

Matlock is committed to diversity. We welcome candidates from all backgrounds. Diversity strengthens our solutions, broadens perspectives, and reflects the communities and clients we serve. We embrace multi-generational, multi-cultural, and local talent of all ages.

Job Type: Full-time

Pay: $95,000.00 - $125,000.00 per year

Benefits:

* 401(k)
* 401(k) matching
* Dental insurance
* Employee assistance program
* Flexible spending account
* Health insurance
* Health savings account
* Paid time off
* Parental leave
* Professional development assistance
* Referral program
* Tuition reimbursement
* Vision insurance

Schedule:

* 8 hour shift
* Monday to Friday

Work Location: In person","","https://www.indeed.com/cmp/Matlock-3","","http://matlockllc.com/","","","","","","","","","","","2025-06-17 08:54:02.154332","Data Analyst (USA, Remote)"
"in-fbd01837d72cd25a","indeed","https://www.indeed.com/viewjob?jk=fbd01837d72cd25a","http://www.indeed.com/job/5484-technical-data-analyst-fbd01837d72cd25a","5484 Technical Data Analyst","Infoorigin Inc","Fairfax, VA, US","2025-06-17","contract","direct_data","yearly",112320.0,135200.0,"USD",False,"","","","","**Job Description**

* The Client is seeking a seasoned Senior Data Analyst with a strong background in the Banking and Financial Services industry.

**Must have Skills:**

* Proficient in Data analysis, gathering/finalizing requirements, creating user stories in JIRA with clear acceptance criteria
* Ability and experience to own multiple features and drive them to completion - track progress, work with internal/externals stakeholders and teams to drive progress, escalate risks/issues to Product Owner
* Experience with SQL and relational data
* Clear communication and good organization skills
* Familiarity and experience with JIRA and Confluence and working in an agile environment

**Nice to have Skills:**

* Prior or recent experience working at Freddie, Fannie, CSS
* Experience working in MBS (Mortgage-Backed Securities) and/or Securitization domain would be great
* Experience working with non-relational data (Mongo or any NoSQL DB)
* Familiarity and experience working with Collibra Data Intelligence platform (to track data lineage and governance)

Job Type: Contract

Pay: $54.28 - $65.37 per hour

Expected hours: 40 per week

Schedule:

* 8 hour shift

Ability to Commute:

* Fairfax, VA 22030 (Required)

Ability to Relocate:

* Fairfax, VA 22030: Relocate before starting work (Required)

Work Location: In person","","https://www.indeed.com/cmp/Infoorigin-Inc","","https://infoorigin.com","","","","","","","","","","","2025-06-17 08:54:02.154332","Data Analyst (USA, Remote)"
"in-aba22c519b27af85","indeed","https://www.indeed.com/viewjob?jk=aba22c519b27af85","http://www.indeed.com/job/systems-analyst-aba22c519b27af85","Systems Analyst","YSI","Quantico, VA, US","2025-06-17","fulltime, contract","direct_data","yearly",110000.0,125000.0,"USD",True,"","","","","**Title: Business Systems Analyst**

**Location: Stafford, VA/ Quantico, VA**

**Status: Full Time Position**

**Clearance: Top Secret**

Yakshna Solutions, Inc., (YSI) is a CMMI Level 3 assessed, ISO 9001, 20000:1, 27001 certified, woman-owned small business enterprises, headquartered in Herndon, Virginia, USA. YSI provides professional IT solutions and services to business corporations and government organizations.

YSI is committed to serving its business communities as a leading IT vendor providing innovative, quality and cost-effective IT business solutions and services.

**YSI** offers a competitive benefits package that includes the following: 401(k), health, dental, and vision insurance, Life insurance, short-term and long-term disability insurance, paid time off, training and professional development assistance.

**Job Responsibilities/Required Skills:**

· Responsible for formulating and defining systems scope and objectives based on both user needs and good understanding of applicable business system and government requirements.

· Devises or modifies procedures to solve complex problems to include analysis of business and user needs, documents requirements, and translates into proper system requirements.

· Provides input to risk management framework process activities and related documentation (system life-cycle support plans, concept of operations, operational procedures and maintenance training materials).

· Requires knowledge of cybersecurity, privacy principles, and organizational requirements.

· Skill in determining how mission systems operate and how changes affect systems operations.

· Research current technology to understand capabilities or required of mission systems.

· Collaborates with government to identify and/or develop appropriate solutions.

· Ability to effectively communicate with others.

· MS/MA in Information Technology with concentration in business analytics with 10 years’ experience or BA/BS in Information Technology with concentration in business analytics and 12 years’ experience.

· Closed completed T5 (SSBI, SBPR, PPR) investigation with eligibility to Top Secret.

· Must a total of one (1) role-based Microsoft Certification from the following:

· Power BI Data Analyst Associate

· Power Platform Fundamentals Azure Data Scientist Associate Azure AI Engineer Associate AI Engineer Associate (365)

· Power Platform App Maker Associate Power Automate RPA Developer Associate Teams Application Developer Associate Azure Data Engineer Associate

· Azure Developer Associate

· Power Platform Functional Consultant Associate

Job Types: Full-time, Contract

Pay: $110,000.00 - $125,000.00 per year

Benefits:

* 401(k)
* 401(k) matching
* Dental insurance
* Health insurance
* Health savings account
* Life insurance
* Paid time off
* Professional development assistance
* Vision insurance

Schedule:

* 8 hour shift
* Monday to Friday

Work Location: Hybrid remote in Quantico, VA 22134","","https://www.indeed.com/cmp/Ysi-1","","http://yakshna.com/","","","","","","","","","","","2025-06-17 08:54:02.154332","Data Analyst (USA, Remote)"
