batch	start_timestamp	end_timestamp	found_jobs	new_jobs	name	enabled	site_name	search_term	location	is_remote	hours_old	results_wanted	country_indeed	linkedin_fetch_description	google_search_term	description_format	enforce_annual_salary	verbose	distance
1	6/10/25 11:31	6/10/25 11:32	240	104	"Professional Services (Longmont, Local)"	TRUE	"['indeed', 'linkedin', 'google']"	Professional Services	"Longmont, CO"	FALSE	24	1500	USA	TRUE	"Professional Services jobs in the last week near Longmont, CO"	markdown	TRUE	2	25
1	6/10/25 11:32	6/10/25 11:32	222	0	"Professional Services (Longmont, Remote)"	TRUE	"['indeed', 'linkedin', 'google']"	Professional Services	"Longmont, CO"	TRUE	24	1500	USA	TRUE	"Professional Services jobs in the last week near Longmont, CO Remote"	markdown	TRUE	2	25
1	6/10/25 11:32	6/10/25 11:33	492	119	"Professional Services (Boulder, Local)"	TRUE	"['indeed', 'linkedin', 'google']"	Professional Services	"Boulder, CO"	FALSE	24	1500	USA	TRUE	"Professional Services jobs in the last week near Boulder, CO"	markdown	TRUE	2	25
1	6/10/25 11:33	6/10/25 11:33	450	2	"Professional Services (Boulder, Remote)"	TRUE	"['indeed', 'linkedin', 'google']"	Professional Services	"Boulder, CO"	TRUE	24	1500	USA	TRUE	"Professional Services jobs in the last week near Boulder, CO Remote"	markdown	TRUE	2	25
1	6/10/25 11:33	6/10/25 11:36	1011	969	"Professional Services (USA, Remote)"	TRUE	"['indeed', 'linkedin', 'google']"	Professional Services	USA	TRUE	24	1500	USA	TRUE	Professional Services jobs in the USA in the last week Remote	markdown	TRUE	2	25
1	6/10/25 11:36	6/10/25 11:36	133	43	"Product Training (Longmont, Local)"	TRUE	"['indeed', 'linkedin', 'google']"	Product Training	"Longmont, CO"	FALSE	24	1500	USA	TRUE	"Product Training jobs in the last week near Longmont, CO"	markdown	TRUE	2	25
1	6/10/25 11:36	6/10/25 11:36	107	0	"Product Training (Longmont, Remote)"	TRUE	"['indeed', 'linkedin', 'google']"	Product Training	"Longmont, CO"	TRUE	24	1500	USA	TRUE	"Product Training jobs in the last week near Longmont, CO Remote"	markdown	TRUE	2	25
1	6/10/25 11:36	6/10/25 11:37	221	33	"Product Training (Boulder, Local)"	TRUE	"['indeed', 'linkedin', 'google']"	Product Training	"Boulder, CO"	FALSE	24	1500	USA	TRUE	"Product Training jobs in the last week near Boulder, CO"	markdown	TRUE	2	25
1	6/10/25 11:37	6/10/25 11:37	190	1	"Product Training (Boulder, Remote)"	TRUE	"['indeed', 'linkedin', 'google']"	Product Training	"Boulder, CO"	TRUE	24	1500	USA	TRUE	"Product Training jobs in the last week near Boulder, CO Remote"	markdown	TRUE	2	25
1	6/10/25 11:37	6/10/25 11:40	1004	857	"Product Training (USA, Remote)"	TRUE	"['indeed', 'linkedin', 'google']"	Product Training	USA	TRUE	24	1500	USA	TRUE	Product Training jobs in the USA in the last week Remote	markdown	TRUE	2	25
1	6/10/25 11:40	6/10/25 11:40	70	23	"Implementation (Longmont, Local)"	TRUE	"['indeed', 'linkedin', 'google']"	Implementation	"Longmont, CO"	FALSE	24	1500	USA	TRUE	"Implementation jobs in the last week near Longmont, CO"	markdown	TRUE	2	25
1	6/10/25 11:40	6/10/25 11:40	43	0	"Implementation (Longmont, Remote)"	TRUE	"['indeed', 'linkedin', 'google']"	Implementation	"Longmont, CO"	TRUE	24	1500	USA	TRUE	"Implementation jobs in the last week near Longmont, CO Remote"	markdown	TRUE	2	25
1	6/10/25 11:40	6/10/25 11:42	156	34	"Implementation (Boulder, Local)"	TRUE	"['indeed', 'linkedin', 'google']"	Implementation	"Boulder, CO"	FALSE	24	1500	USA	TRUE	"Implementation jobs in the last week near Boulder, CO"	markdown	TRUE	2	25
1	6/10/25 11:42	6/10/25 11:42	106	5	"Implementation (Boulder, Remote)"	TRUE	"['indeed', 'linkedin', 'google']"	Implementation	"Boulder, CO"	TRUE	24	1500	USA	TRUE	"Implementation jobs in the last week near Boulder, CO Remote"	markdown	TRUE	2	25
