id,title,date_scraped,search_query,review_status
li-4238089470,Sales Controlling Analyst II,2025-06-02T10:04:06.552648,"Analyst (Longmont, Local)",Reviewed
li-4240645335,Sales Associate,2025-06-02T10:04:06.552648,"Analyst (Longmont, Local)",Reviewed
li-4139911030,Sales Associate III,2025-06-02T10:04:06.552648,"Analyst (Longmont, Local)",Reviewed
li-4213654008,"Pet Insurance Sales Associate - Loveland, CO",2025-06-02T10:04:06.552648,"Analyst (Longmont, Local)",Reviewed
li-4213270031,Merchandising Sales Associate,2025-06-02T10:04:06.552648,"Analyst (Longmont, Local)",Reviewed
go-XaAt-K7pBpGjJDRLAAAAAA==,Foreign Military Sales Requirements Analyst,2025-06-02T10:04:48.074680,"Analyst (Longmont, Remote)",Reviewed
go-gHzZi2SBbqwLL_LAAAAAAA==,Senior Sales Analyst – Mass & Club,2025-06-02T10:04:48.074680,"Analyst (Longmont, Remote)",Reviewed
li-4240233126,Sales Associate,2025-06-02T10:04:48.074680,"Analyst (Longmont, Remote)",Reviewed
in-b316e6c6cbb790ce,Ticketed Sales & Revenue Analyst,2025-06-02T10:07:46.495644,"Analyst (Boulder, Local)",Reviewed
in-5e010996acf26292,Sales Operations Analyst,2025-06-02T10:07:46.495644,"Analyst (Boulder, Local)",Reviewed
li-4240995369,Account Associate (A&D Trade/Luxury Carpet Sales Professional),2025-06-02T10:07:46.495644,"Analyst (Boulder, Local)",Reviewed
in-f8be500c07eeb91b,Salesforce Developer,2025-06-02T10:08:12.576139,"Analyst (Boulder, Local, No Degree)",Reviewed
li-4189769003,"Associate Sales Specialist Flex Team, LTC",2025-06-02T10:09:12.484761,"Analyst (Boulder, Remote)",Reviewed
li-4240230586,Remote Sales Consultant,2025-06-02T10:09:12.484761,"Analyst (Boulder, Remote)",Reviewed
li-4199918361,Sr. Sales Operations Analyst,2025-06-02T10:12:24.443339,"Analyst (USA, Remote)",Reviewed
li-4211712396,Senior Sales Operations Analyst,2025-06-02T10:12:24.443339,"Analyst (USA, Remote)",Reviewed
li-4222385523,Sales Operations Analyst,2025-06-02T10:12:24.443339,"Analyst (USA, Remote)",Reviewed
in-9a658b3378d6d328,"Senior Manager, Sales Operations and Planning",2025-06-02T10:13:14.361865,"Analyst (USA, Remote, No Degree)",Reviewed
in-cac56452c9499427,"Product Owner, Salesforce Technology",2025-06-02T10:13:14.361865,"Analyst (USA, Remote, No Degree)",Reviewed
in-1cfcbf7cdb770ff6,Senior Sales Operations Analyst,2025-06-02T10:13:14.361865,"Analyst (USA, Remote, No Degree)",Reviewed
in-b92a486efaa4f6e9,QA Technical Analyst - Salesforce,2025-06-02T10:13:14.361865,"Analyst (USA, Remote, No Degree)",Reviewed
in-64a4f717f0559863,Salesforce Reporting Expert,2025-06-02T10:20:03.682511,"Data Visualization (USA, Remote)",Reviewed
in-153c5b02ca2cdeb5,Senior Salesforce Engineer - ECRM,2025-06-02T10:20:03.682511,"Data Visualization (USA, Remote)",Reviewed
in-72229913740328d7,Grower Sales Data Analyst,2025-06-02T10:20:30.109303,"Data Visualization (USA, Remote, No Degree)",Reviewed
in-a06f5d3a73731af9,Senior Sales Engineer,2025-06-02T10:20:30.109303,"Data Visualization (USA, Remote, No Degree)",Reviewed
in-b317d5d75599761f,"Sr. Business Analyst, Sales Analytics",2025-06-02T10:20:30.109303,"Data Visualization (USA, Remote, No Degree)",Reviewed
in-c1d10db6f7e7c6f1,Sales Strategy and Operations,2025-06-02T10:20:30.109303,"Data Visualization (USA, Remote, No Degree)",Reviewed
in-0e5c28087d692809,"Senior Analyst, Sales Inventory Operations & Planning",2025-06-02T10:20:30.109303,"Data Visualization (USA, Remote, No Degree)",Reviewed
in-8a6df6b84a225504,"Senior Analyst, Sales and Operations Planning",2025-06-02T10:20:30.109303,"Data Visualization (USA, Remote, No Degree)",Reviewed
in-85b9d3e9476f581c,Data Analyst for Agricultural Land Sales,2025-06-02T10:20:30.109303,"Data Visualization (USA, Remote, No Degree)",Reviewed
in-1700e41e31a64c12,Sales & Marketing Analytics Lead,2025-06-02T10:20:30.109303,"Data Visualization (USA, Remote, No Degree)",Reviewed
