name,enabled,site_name,search_term,location,is_remote,distance,hours_old,results_wanted,country_indeed,linkedin_fetch_description,google_search_term
"Data Analyst (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Data Analyst,"Boulder, CO",,25,24,1500,USA,TRUE,
"Data Analyst (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Data Analyst,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Data Analyst (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Data Analyst,"Loveland, CO",,25,24,1500,USA,TRUE,
"Data Analyst (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Data Analyst,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Data Analyst (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Data Analyst,"Denver, CO",,25,24,1500,USA,TRUE,
"Data Analyst (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Data Analyst,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Solutions Consultant (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Solutions Consultant,"Boulder, CO",,25,24,1500,USA,TRUE,
"Solutions Consultant (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Solutions Consultant,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Solutions Consultant (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Solutions Consultant,"Loveland, CO",,25,24,1500,USA,TRUE,
"Solutions Consultant (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Solutions Consultant,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Solutions Consultant (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Solutions Consultant,"Denver, CO",,25,24,1500,USA,TRUE,
"Solutions Consultant (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Solutions Consultant,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Technical Consultant (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Technical Consultant,"Boulder, CO",,25,24,1500,USA,TRUE,
"Technical Consultant (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Technical Consultant,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Technical Consultant (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Technical Consultant,"Loveland, CO",,25,24,1500,USA,TRUE,
"Technical Consultant (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Technical Consultant,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Technical Consultant (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Technical Consultant,"Denver, CO",,25,24,1500,USA,TRUE,
"Technical Consultant (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Technical Consultant,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Professional Services Consultant (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Professional Services Consultant,"Boulder, CO",,25,24,1500,USA,TRUE,
"Professional Services Consultant (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Professional Services Consultant,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Professional Services Consultant (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Professional Services Consultant,"Loveland, CO",,25,24,1500,USA,TRUE,
"Professional Services Consultant (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Professional Services Consultant,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Professional Services Consultant (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Professional Services Consultant,"Denver, CO",,25,24,1500,USA,TRUE,
"Professional Services Consultant (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Professional Services Consultant,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Implementation, Integration, Deployment Consultant (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Implementation Consultant or Integration Consultant or Deployment Consultant,"Boulder, CO",,25,24,1500,USA,TRUE,
"Implementation, Integration, Deployment Consultant (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Implementation Consultant or Integration Consultant or Deployment Consultant,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Implementation, Integration, Deployment Consultant (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Implementation Consultant or Integration Consultant or Deployment Consultant,"Loveland, CO",,25,24,1500,USA,TRUE,
"Implementation, Integration, Deployment Consultant (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Implementation Consultant or Integration Consultant or Deployment Consultant,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Implementation, Integration, Deployment Consultant (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Implementation Consultant or Integration Consultant or Deployment Consultant,"Denver, CO",,25,24,1500,USA,TRUE,
"Implementation, Integration, Deployment Consultant (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Implementation Consultant or Integration Consultant or Deployment Consultant,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Business Analyst (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Business Analyst,"Boulder, CO",,25,24,1500,USA,TRUE,
"Business Analyst (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Business Analyst,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
