"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","date_scraped","search_query"
"in-13cf806e2b6bced8","indeed","https://www.indeed.com/viewjob?jk=13cf806e2b6bced8","http://www.indeed.com/job/business-analyst-13cf806e2b6bced8","Business Analyst","Radiant Digital","Houston, TX, US","2025-06-18","contract","direct_data","yearly",89637.0,104486.0,"USD",False,"","","","","**Position: Business Analyst**

**Duration: 12 Months**

**Location: Houston, TX**

**Position Summary:**

The Business Analyst provides critical support to both internal departments and external stakeholders by facilitating communication, analyzing business needs, and ensuring the successful execution of operational and strategic initiatives.

This role at Organization ensures that projects and processes are aligned with organizational goals and stakeholder expectations.

**Duties & Responsibilities: % of Time**

* Stakeholder Communication: Serves as a primary liaison between internal teams and external partners/vendors to ensure clear, timely communication on projects and initiatives. 30%

* Business Process Analysis: Analyzes current operational workflows and identifies opportunities for improvement, efficiency, or automation. 20%

* Requirement Gathering: Conducts interviews and workshops to gather business, functional, and technical requirements from stakeholders. 15%

* Cross-Departmental Coordination: Collaborates with IT, operations, customer service, and leadership teams to align business objectives and resolve cross-functional issues. 15%

* Reporting & Documentation: Develops reports, dashboards, and executive summaries to track KPIs, project progress, and stakeholder engagement. 10%

* Presentation & Support: Prepares materials and presentations for meetings, briefings, and leadership updates.

**Essential Skills Required:**

* Strong interpersonal and stakeholder engagement skills

* Ability to translate complex technical concepts into user-friendly language

* Solid understanding of business analysis methodologies and tools

* Excellent written and verbal communication skills

* Ability to manage multiple priorities and shifting timelines

* High attention to detail with a problem-solving mindset

* Proficient in Microsoft Office Suite, especially Excel and PowerPoint

* Familiarity with project management or business analysis tools (e.g., JIRA, Smartsheet, Visio)

**Knowledge, Skills, And Abilities:**

* Strong interpersonal and stakeholder engagement skills

* Ability to translate complex technical concepts into user-friendly language

* Solid understanding of business analysis methodologies and tools

* Excellent written and verbal communication skills

* Ability to manage multiple priorities and shifting timelines

* High attention to detail with a problem-solving mindset

* Proficient in Microsoft Office Suite, especially Excel and PowerPoint

* Familiarity with project management or business analysis tools (e.g., JIRA, Smartsheet, Visio)

Job Type: Contract

Work Location: In person","","https://www.indeed.com/cmp/Radiant-Digital-0feb7053","","","","","","","","","","","","","2025-06-18 12:29:02.571511","Data Analyst (USA, Remote)"
"in-a0b64bbba1760fbf","indeed","https://www.indeed.com/viewjob?jk=a0b64bbba1760fbf","http://www.indeed.com/job/business-analyst-a0b64bbba1760fbf","Business Analyst","Cavalier Workforce Inc","Houston, TX, US","2025-06-18","contract","","hourly","","","USD",False,"","","","","**Job Summary**  
We are seeking a detail-oriented and analytical Business Analyst to join our dynamic team. The ideal candidate will play a pivotal role in analyzing business needs, identifying solutions, and enhancing overall operational efficiency. This position requires strong data analysis skills and proficiency in various analytical tools to support decision-making processes within the organization.

**Duties**

* Collaborate with stakeholders to gather and document business requirements.
* Analyze data trends and patterns to provide actionable insights.
* Utilize tools such as Python, R, and Talend for data manipulation and analysis.
* Create visual representations of data findings using software like Visio.
* Develop comprehensive reports that communicate findings effectively to diverse audiences.
* Monitor project progress and ensure alignment with business objectives.
* Conduct regular reviews of business processes to identify areas for improvement.
* Facilitate workshops and meetings to discuss project updates and gather feedback.

**Experience**

* Proven experience in business analysis or a related field.
* Strong analytical skills with the ability to interpret complex data sets.
* Familiarity with analytics tools and programming languages such as Python and R.
* Experience with data integration tools like Talend is a plus.
* Excellent communication skills, both written and verbal, with the ability to present findings clearly.
* Ability to work collaboratively in a team environment while also being self-motivated.

Join us as we strive to enhance our business operations through insightful analysis and innovative solutions. If you possess the required skills and are eager to contribute to our success, we encourage you to apply.

Job Type: Contract

Pay: $25.00 per hour

Benefits:

* Health insurance

Schedule:

* 8 hour shift

Work Location: In person","","https://www.indeed.com/cmp/Cavalier-Workforce-Inc","","","","","","","","","","","","","2025-06-18 12:29:02.571511","Data Analyst (USA, Remote)"
"in-d08d2800c394fdf0","indeed","https://www.indeed.com/viewjob?jk=d08d2800c394fdf0","http://www.indeed.com/job/business-analyst-itil-configuration-d08d2800c394fdf0","Business Analyst (ITIL Configuration)","Advanced Proactive Solutions LLC","Austin, TX, US","2025-06-18","fulltime, contract","direct_data","yearly",93600.0,104000.0,"USD",True,"","","","","**Job Overview:**

* The configuration manager oversees the configuration management process, as a key function within the IT Service Management team, ensuring all configuration items (CI) are accurately documented and maintained.
* This individual is responsible for establishing and maintaining the configuration management plan and coordinating with various IT teams to enforce CM practices.
* Their work involves defining configuration identifications, managing configuration changes, and conducting reviews & audits to ensure compliance with HHS agency policies and standards.
* The configuration manager must ensure that CM tools and resources are used effectively.
* They act as a bridge between operations, infrastructure, applications, and ITSM teams to guarantee that everyone is aligned with the CM strategy.

**Duties & Responsibilities:**

* Reviews, analyzes, and evaluates business systems and user needs. Formulates systems to parallel overall business strategies.
* Experienced with business process reengineering and identifying new applications of technology to business problems to make business more effective.
* Familiar with industry standard business process mapping, and reengineering. Prepares solution options, risk identification, and financial analyses such as cost/benefit, ROI, buy/build, etc.
* Writes detailed description of user needs, program functions, and steps required to develop or modify computer programs.

**EXPERIENCE-**

**Required Qualifications & Skills:**

* ***5 Years:*** Advanced knowledge of ITIL configuration management principles and best practices; prior experience in developing and maintaining configuration management process & polices.
* ***5 Years:*** Excellent problem-solving and critical thinking skills and a strong attention to detail.
* ***5 Years:*** Experience supporting and maintaining CMDB platforms such as BMC Helix, ServiceNow, Atlassian, etc.
* ***4 Years:*** Performs regular configuration audits to verify their completeness, accuracy, and compliance with the CM plan and system objectives.
* ***4 Years:*** Responsible for verifying and auditing the configuration status and assists with configuration verification, to ensure that the CIs are consistent with their specifications and requirements.
* ***4 Years:*** 3-5 years of demonstrated work experience as a Configuration Manager or a similar role overseeing IT Service Management processes & standards.
* ***4 Years:*** ITIL 4 Foundation certification.

**Contract Details:**

* The primary work location(s) will be at **4601 W. Guadalupe St. Austin, TX 78751**.
* The working position is Hybrid. ***Position will be 3 days remote with 2 days (Tuesdays and Thursdays) required to be onsite at the location listed above. Program will only accept LOCAL ONLY candidates for this position.***
* Services shall be provided during normal business hours unless otherwise coordinated through the **Texas Health and Human Services Commission**. Normal business hours are Monday through Friday from **8:00 AM to 5:00 PM**, excluding State holidays when the agency is closed.
* Services are expected to start **07/21/2025** and are expected to complete by **08/31/2025**. Total estimated hours per Candidate shall not exceed **280** hours. This service may be amended, renewed, and/or extended providing both parties agree to do so in writing.
* ***S# 529501430***

Job Types: Full-time, Contract

Pay: $45.00 - $50.00 per hour

Schedule:

* Monday to Friday

Experience:

* ITIL configuration management principles: 5 years (Required)
* maintaining CMDB platforms: BMC Helix & ServiceNow: 5 years (Required)
* configuration audits to verify their completeness: 4 years (Required)
* Configuration Manager overseeing IT Service Management: 4 years (Required)

License/Certification:

* ITIL 4 Foundation Certification (Required)

Location:

* Austin, TX 78751 (Required)

Work Location: Hybrid remote in Austin, TX 78751","","https://www.indeed.com/cmp/Advanced-Proactive-Solutions-LLC","","","","","","","","","","","","","2025-06-18 12:29:02.571511","Data Analyst (USA, Remote)"
"in-a713e317b62e2582","indeed","https://www.indeed.com/viewjob?jk=a713e317b62e2582","http://www.indeed.com/job/business-analyst-velocity-localcontractorhybrid-a713e317b62e2582","Business Analyst - Velocity (Local)(Contractor)(Hybrid)","RelMap Software","Rosemont, IL, US","2025-06-18","contract","direct_data","yearly",145600.0,166400.0,"USD",True,"","","","","**Qualifications:**

* 7+ years of prior experience as a Business Analyst or other IT role, such as support or development.
* BA / BS in IT, statistics, computer science, mathematics, information management, business or a related field or equivalent experience.
* Hands on experience with ETL tools such as Informatica, Microsoft SSIS
* Strong investigative, analytical skills.
* Interpersonal communication skills with the ability to work independently or as part of a team with both the Business and technology staff.
* Skilled at defining and documenting business and functional requirements for ongoing system enhancement initiatives in agile software development environments.
* Experience writing clear acceptance criteria to a testable level.
* Experience leading or participating in all Agile meetings including sprint planning, sprint grooming, review, demo, stand-up, and retrospective sessions.
* Experience in all phases of product, software, and testing lifecycles.
* Clear and concise verbal and written communication skills.
* Curious, self-motivated, independent.
* Microsoft Office experience: Word for documentation, Excel for data handling, Visio for process explanation, PowerPoint for presentation and Outlook for email.
* Firm understanding of relational databases, database structures and design, and data management.
* Moderate to Advanced SQL knowledge.

* 1+ years of programming experience in any language, i.e., Python, Java, JavaScript, C, C++
* 3+ years of experience on a business team interfacing with IT.
* 3+ years of experience in healthcare.
* Ability to become a Subject Matter Expert on various healthcare, insurance, pension, and/or payroll technology systems.
* Experience working on different project types, such as off-the-shelf, new development, enhancements projects.
* General knowledge of databases, applications, system interfaces, and operating systems.
* Experience creating reports for business users, especially via SSRS or similar tools.
* Knowledgeable in SDLC, Agile and/or Waterfall methodologies.

Job Type: Contract

Pay: $70.00 - $80.00 per hour

Schedule:

* 8 hour shift

Work Location: Hybrid remote in Rosemont, IL 60018","","https://www.indeed.com/cmp/Relmap-Software","","","","","","","","","","","","","2025-06-18 12:29:02.571511","Data Analyst (USA, Remote)"
"in-d68b7239810b564a","indeed","https://www.indeed.com/viewjob?jk=d68b7239810b564a","http://www.indeed.com/job/databusiness-analyst-d68b7239810b564a","Data/Business Analyst","Natures Way  Farms, LLC","Miami, FL, US","2025-06-18","fulltime","direct_data","yearly",39331.0,47218.0,"USD",False,"","","","","Nature’s Way Farms is one of the largest tropical shrub and ornamental nurseries in Florida. We have more than 40 years of experience growing plants on hundreds of acres. We service garden centers in large mass market retailers across the country. We are looking for an addition to our production planning team.

**Responsibilities**  
The Analyst will be responsible for data manipulation, validation, and analysis to support plant production. A significant portion of the role involves extensive data handling in Excel, along with entry-level interpretation and analysis. The Analyst will ensure the integrity and accuracy of data through regular audits and reviews. Attention to detail is essential for identifying discrepancies and making necessary adjustments, ensuring all data is precise and reliable.

**Qualifications**

· The role requires in-office attendance Monday through Friday.

· A Bachelor's degree in business, mathematics, finance, data science, or a related field, or relevant experience in data analysis.

· Advanced proficiency in Excel is required.

· Some prior office experience, including internships, is preferred.

· Strong attention to detail and the ability to handle repetitive administrative tasks. A proactive mindset with a desire to learn, experiment, and take calculated risks is crucial for success and career growth.

· Ability to work outdoors to observe and understand products is required.

· Bilingual in Spanish and English is a significant advantage.

We are an equal opportunity employer, and we encourage applications from candidates regardless of race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, disability, marital status, or veteran status. We believe that diversity enriches our work culture and enhances our ability to serve our customers and partners.

Nature's Way Farms is proud to maintain a drug-free workplace. Our commitment to maintaining a drug-free environment extends not only to our employees' safety but also to upholding our professional standards and promoting a positive work atmosphere.

www.natureswaymiami.com

Job Type: Full-time

Job Type: Full-time

Benefits:

* 401(k) matching
* Dental insurance
* Health insurance
* Life insurance
* Paid time off
* Vision insurance

Schedule:

* Day shift

Work Location: In person","","https://www.indeed.com/cmp/Natures-Way-Farms,-LLC-1","","","","","","","","","","","","","2025-06-18 12:29:02.571511","Data Analyst (USA, Remote)"
"in-a374f3d4c90b531d","indeed","https://www.indeed.com/viewjob?jk=a374f3d4c90b531d","https://www.applicantpro.com/openings/malarkeyroofing/jobs/3777038-357747","Pricing Analyst","Malarkey Roofing Products","Portland, OR, US","2025-06-18","fulltime","direct_data","yearly",77500.0,96900.0,"USD",False,"","","","","**Everyone belongs at Malarkey!**

**Malarkey takes pride in selecting our most important asset, our employees. Become a part of our mission to manufacture and deliver innovative, performance-driven building products with service and integrity that is unparalleled.**

The **Pricing Analyst** will help determine competitive pricing strategies to gain market share and achieve revenue goals. They will analyze data from multiple sources, develop complex pricing models, and collaborate with Sales Operations Management, Sales Management, and the sales team to develop strategies.

  

* Assesses data from various sources to gain insights into pricing strategies and market trends.
* Participates in current pricing tasks as well as analysis to move the company into a better overall pricing strategy, processes, and workflow.
* Analyzes competitor pricing and market trends to increase market share and profitability.
* Tracks customer engagement to develop effective pricing strategies for products and offerings.
* Applies statistical modeling methods to determine the potential impact of pricing strategies on profitability.

**Knowledge, Education, and Experience**

A bachelor's degree in mathematics, statistics, finance, economics, or related fields is required. A master's degree in business administration is preferred. At least five years of experience as a pricing analyst in a similar industry. Proficiency in business intelligence (BI) software, Microsoft Power BI. In-depth knowledge of statistical methods and data analysis. Extensive experience in analyzing pricing strategies and forecasting revenue and market share. Experience in collaborating on pricing strategies with sales and marketing departments. Ability to keep abreast of industry trends and develop dynamic pricing tools. Advanced ability to present pricing analysis reports to relevant stakeholders-excellent analytical and communication skills.

* Expert-level Excel skills are required.
* Analytical: Strong analytical skills are necessary to compare sales trends and determine market data.
* Communication: Excellent written and verbal communication skills are essential, as pricing analysts work with team members at all levels, including store associates, office staff, and executive team members.
* Detail-oriented: The ability to pay close attention to detail while remaining accurate is crucial in the analysis of large collections of data.
* Problem-solving: Pricing analysts use problem-solving skills to identify declining sales trends and devise strategies to improve them.

**When you join the Malarkey family, you have access to enhanced health care designed to keep you and your family healthy for today and for the future. Malarkey also offers financial wellness planning and contributions to your retirement plan. Our programs allow our employees to thrive and achieve success both at work and in their personal lives. Malarkey offers Medical, Dental, Vision, Life Insurance, Accident Death and Dismemberment, and a retirement plan.**

**Malarkey Roofing Products is an Equal Employment Opportunity Employer.**

**Today's Talent, Tomorrow's Success**","","https://www.indeed.com/cmp/Malarkey-Roofing-Products","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/9dcf2583be0b4527bb0065ae63e4090f","https://www.malarkeyroofing.com","Corporate Address - 3131 N Columbia Blvd, Portland, OR 97217 ","501 to 1,000","$100M to $500M (USD)","A little more thought, a little more effort, a little more care. If there’s a better, more sustainable way to make a shingle, we intend to find it.","","","","","","","2025-06-18 12:29:02.571511","Data Analyst (USA, Remote)"
"in-7253877ee66a4fab","indeed","https://www.indeed.com/viewjob?jk=7253877ee66a4fab","http://www.indeed.com/job/sr-business-analyst-ai-7253877ee66a4fab","Sr. Business Analyst (AI)","Procentrix","Washington, DC, US","2025-06-18","fulltime","direct_data","yearly",120000.0,140000.0,"USD",True,"","","","","The Senior Business Analyst will join a team to lead the requirements gathering and business analysis work for an application development team building AI solutions for a federal government agency. They will be the primary point of contact to the customer, facilitating ideation, requirements, and working sessions to plan, design, and develop AI solutions to drive efficiencies into existing government systems and processes. The Senior BA will bring strong analytical, communication, and technical skills to bridge the gap between business stakeholders and the technical team. They will independently gather and document business requirements / user stories, create workflows and Visio diagrams, and facilitate the successful delivery of AI-driven solutions. Responsibilties include:

* Facilitate requirements workshops, stakeholder meetings, and regular status updates to ensure clarity and progress
* Create and update user stories throughout the Agile development process
* Identify opportunities for leveraging AI to improve business processes and operations.
* Develop and maintain process workflows, diagrams, and visual representations of requirements using tools such as Microsoft Visio.
* Collaborate with the technical team to design and implement AI-driven solutions, ensuring alignment with business objectives

Projected compensation range for this position is $120K - $140K. The final salary offered will generally fall within this range and is determined by various factors, including but not limited to the individual's particular combination of education, knowledge, skills, competencies, and experience, as well as internal pay equity, location, contract-specific affordability and other organizational requirements.

Required Skills

* 8+ years of business analysis for IT systems
* Strong working knowledge of AI tools and technology
* Proven experience in a senior BA role, independently working with business users and driving IT development work
* Experience working within Agile development teams
* Experience gathering, analyzing, and documenting business requirements / user stories from stakeholders across various departments
* Must be a US Citizen

Desirable Skills

* Experience working for federal government customers
* Active Fedeal Government Public Trust clearance
* AI related certifications
* Certified Scrum Master;

Job Type: Full-time

Pay: $120,000.00 - $140,000.00 per year

Benefits:

* 401(k)
* 401(k) matching
* Dental insurance
* Health insurance
* Health savings account
* Paid time off
* Tuition reimbursement
* Vision insurance

Compensation Package:

* Yearly pay

Work Location: Hybrid remote in Washington, DC 20426","Internet And Software","https://www.indeed.com/cmp/Procentrix","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/c2aefa437a1b65bb33015c572ffa09c4","http://www.procentrix.com","2201 Cooperative Way
Suite 550
Herndon, VA 20171","51 to 200","$25M to $100M (USD)","We are the proud recipient of numerious awards and recognitions including 11th on the Washington Post's 2016 Top Workplace awards.","","","","","","","2025-06-18 12:29:02.571511","Data Analyst (USA, Remote)"
"in-b66bd1d2b5dacb86","indeed","https://www.indeed.com/viewjob?jk=b66bd1d2b5dacb86","http://www.indeed.com/job/monitoring-analyst-b66bd1d2b5dacb86","Monitoring Analyst","Saransh Inc","Winston-Salem, NC, US","2025-06-18","fulltime","","yearly","","","USD",True,"","","","","**Senior Monitoring Analyst**

**Location: Winston-Salem, NC (Hybrid: 3 days onsite)**

**Type: Full-Time**

**Core Mission**

Design, deploy, and maintain monitoring solutions for high-availability financial transaction platforms using Dynatrace, Splunk, SolarWinds, and SCOM to drive operational excellence.

**Key Requirements**

5+ years in data analysis/technical support for financial transaction systems.

**Expertise**: Dynatrace/Splunk (alerting, dashboards), Power Platform (Power BI), AWS, SQL.

**Skills**: Log analysis, incident troubleshooting (Level 3), data visualization, automation.

**Must**: Analyze data to improve processes, collaborate cross-functionally, and manage multiple priorities.

**Critical Responsibilities**

Build real-time alerts/dashboards using Dynatrace, Splunk, SolarWinds.

Troubleshoot production incidents & support releases/upgrades.

Automate data integration and reporting workflows.

Document solutions and present insights to stakeholders.

Job Type: Full-time

Pay: From $90,000.00 per year

Compensation Package:

* Bonus opportunities

Schedule:

* Day shift
* Monday to Friday

Work Location: Hybrid remote in Winston-Salem, NC 27101","","https://www.indeed.com/cmp/Saransh-Inc","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/33f5cf19255572785cc49eb0be4672d2","https://saranshinc.com/","5 INDEPENDENCE WAY, PRINCETON, NJ  08540-6627","51 to 200","","Saransh Inc. is a registered company headquartered in New Jersey, USA.","","","","","","","2025-06-18 12:29:02.571511","Data Analyst (USA, Remote)"
"in-1962c43a18817c5e","indeed","https://www.indeed.com/viewjob?jk=1962c43a18817c5e","http://www.indeed.com/job/business-analyst-servicenow-1962c43a18817c5e","Business Analyst (serviceNow)","Sumeru Inc","Pleasanton, CA, US","2025-06-18","contract","direct_data","yearly",93600.0,104000.0,"USD",False,"","","","","**Key Responsibilities:**

· ﻿﻿Serve as a subject matter expert on ServiceNow, with deep knowledge of modules such as IT Service Management (ITSM), HR Service Delivery (HIRSD), Employee Center Pro, Case Management, and Knowledge Management.

· ﻿﻿Rartner with business stakeholders induding Tech Ops, HR, Asset Protection and more to gather, analyze, and document business requirements and translate them into scalable, user-centric solutions.

· ﻿﻿Lead or support global implementations, enhancements, and integrations of ServiceNow capabilities.

· ﻿﻿Collaborate with cross-functional teams to identify opportunities for process automation and service optimization across the emplayee and service delivery lifecycle.

· ﻿﻿Translate business needs into functional specifications, user stories, and workflows that align with platform best practices.

· ﻿﻿Ensure clear communication of project scope, timelines, priorities, budgets, and progress to stakeholders at all levels.

· ﻿﻿Conduct impact analysis, risk assessments, and change management planning for new features and releases.

· ﻿﻿Support testing, deployment, and post-launch activities including training, documentation, and user support.

· ﻿﻿Monitor system performance and user feedback to drive continuous improvement and innovation.

**Qualifications:**

· ﻿﻿5+ years of experience designing and implementing various capabilities on ServiceNow.

· Strong understanding of ServiceNow architecture, configuration, and best practices.

· ﻿﻿Experience with ServiceNow modules such as HRSD, ITSM. Employee Center, or Case and Knowledge Management

· ﻿﻿Proven ability to manage multiple projects and priorities in a fast-paced, dynamic ervironment.

· ﻿﻿Excellent analytical and problem-solving skills with attention to detail and the ability to work with complex systems and data.

· Strong interpersonal and communication skills; able to collebrate effectively with technical and non-technical stakeholders.

· ﻿﻿Experience with Agile methodologies and tools (eg. Jira, Confluence).

· ﻿﻿Bachelor's degres in Information Systems, Business Administration, Data Science, or a related field. MBA or Master's preferred.

· Service Now certifications are a plus.

· ﻿﻿Familiarity with data privacy, compliance, and security standards in enterprise systems.

Job Type: Contract

Pay: $45.00 - $50.00 per hour

Schedule:

* 8 hour shift

Experience:

* ServiceNow: 4 years (Required)

Work Location: In person","","https://www.indeed.com/cmp/Sumeru-Inc-1","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/1151b60b52402b7a8873d8f5a5a7d17d","","","","","","","","","","","","2025-06-18 12:29:02.571511","Data Analyst (USA, Remote)"
"in-0d36d83fb5c1112a","indeed","https://www.indeed.com/viewjob?jk=0d36d83fb5c1112a","http://www.indeed.com/job/data-analyst-0d36d83fb5c1112a","Data Analyst","Itrgroup","Minneapolis, MN, US","2025-06-18","contract","","hourly","","","USD",False,"","","","","**Skills Overview:**

* **Minimum six months experience in fraud detection and asset protection (preferably in a retail environment)**
* Self-starter who is comfortable in a Hybrid work environment

Job Type: Contract

Pay: From $26.00 per hour

Schedule:

* 8 hour shift
* Monday to Friday

Experience:

* Fraud Detection: 1 year (Required)
* Asset Protection: 1 year (Required)

Ability to Commute:

* Minneapolis, MN 55423 (Required)

Work Location: In person","","https://www.indeed.com/cmp/Itrgroup-1","","","","","","","","","","","","","2025-06-18 12:29:02.571511","Data Analyst (USA, Remote)"
